0.05,0.01,450000,329.77632323,152621.91522603,37336.79848854
0.05,0.02,380000,459.94830627,158679.92887953,31340.17214935
0.05,0.05,450000,62.92092066,115269.59725607,57745.59863469
0.05,0.1,220000,76.89714239,72503.60000733,32782.46692966
0.05,0.2,200000,31.33421106,56516.64373872,28219.55314048
0.05,0.4,100000,22.95946070,29115.90739408,15009.27614728
0.05,0.6,80000,17.23009663,21346.39221467,10939.35452090
0.05,0.8,100000,12.36251910,18341.34790131,8882.83082205
0.05,1.0,50000,10.92223659,12106.60378154,6123.32307014
0.05,1.2,60000,7.75350983,12253.26250053,6088.33730628
0.05,1.4,40000,7.92266350,10101.98021803,4894.96489890
0.05,1.6,50000,6.48598337,9351.44904931,4796.27909400
0.05,1.8,50000,5.54861446,8624.02165254,4406.73088142
0.05,2.0,30000,5.22650780,7077.60278910,3553.94096246
0.05,4.0,20000,2.94002282,3909.81269936,1935.12926971
0.05,10,10000,1.57320382,1598.73956744,801.14714360
0.05,20,5000,1.15509662,888.35140773,450.47508304
0.05,40,3000,0.99897116,510.49550817,258.21562304
0.05,50,3000,1.00981954,475.55963248,238.06661166
0.05,100,3000,0.99957328,411.93881910,209.17297109
0.05,200,2000,1.00105602,391.44497159,198.04293234
0.05,300,3000,0.99587214,392.07405070,196.15065553
0.05,1000,2000,1.01273085,393.15154874,197.02488094
0.05,10000,2000,1.00435416,395.10624804,199.69768216
