log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 7.54089107, 0.07798148,7.51878525, 0.06698840,7.74165885, 0.04067019 ,,-0.39794 , 190.10209603, 20.49462464,62.81344046, 3.08366586,7.56939506, 0.05903050 ,
-0.69897 , 3.76275929, 0.02727403,3.83567044, 0.02389245,3.91785258, 0.00980567 ,,-0.09691 , 115.22782886, 9.46325784,29.29749905, 1.07540117,3.98414838, 0.02310548 ,
-0.39794 , 1.91931922, 0.00742511,1.94778522, 0.00523776,2.06857776, 0.00515969 ,,0.0791812 , 66.84941786, 5.78035431,19.00574961, 0.38829991,2.70027409, 0.01320481 ,
-0.221849 , 1.32024255, 0.00598382,1.33666728, 0.00419178,1.44867465, 0.00265116 ,,0.20412 , 54.74647307, 2.70950750,14.72941536, 0.40294623,2.09518144, 0.00647683 ,
-0.09691 , 1.00301444, 0.00452506,1.04141771, 0.00223022,1.15346459, 0.00216697 ,,0.30103 , 45.07650977, 2.82842946,11.44559581, 0.20414098,1.74282585, 0.00689222 ,
0 , 0.83295997, 0.00333429,0.85840591, 0.00210180,0.97694109, 0.00135072 ,,0.60206 , 23.88874862, 0.92128057,5.88887963, 0.08760553,1.05024110, 0.00230720 ,
0.0791812 , 0.71923951, 0.00194822,0.74711664, 0.00148397,0.86097474, 0.00087753 ,,1 , 8.78467638, 0.24021164,2.56060635, 0.02167550,0.74919431, 0.00148595 ,
0.146128 , 0.63819983, 0.00130995,0.66472561, 0.00105193,0.78616279, 0.00084859 ,,1.30103 , 5.01148821, 0.10826611,1.57836269, 0.01223389,0.71423026, 0.00108940 ,
0.20412 , 0.58591667, 0.00140368,0.61157042, 0.00158576,0.73375175, 0.00080833 ,,1.60206 , 2.95347962, 0.04043111,1.27619177, 0.00751117,0.71032828, 0.00106107 ,
0.255273 , 0.54345136, 0.00117691,0.56863512, 0.00088669,0.69345054, 0.00063066 ,,1.69897 , 2.70864749, 0.03280074,1.26880845, 0.00775536,0.70982503, 0.00089725 ,
0.30103 , 0.51345847, 0.00102199,0.54114113, 0.00083723,0.66678456, 0.00052569 ,,2 , 2.37350664, 0.02796315,1.24914431, 0.00701699,0.71288776, 0.00086836 ,
0.60206 , 0.43946655, 0.00157861,0.46811342, 0.00086372,0.59861236, 0.00063523 ,,2.30103 , 2.30284663, 0.03657301,1.24136032, 0.00738618,0.71173278, 0.00104405 ,
1 , 0.66395905, 0.00397160,0.66568658, 0.00203633,0.68018241, 0.00116419 ,,2.47712 , 2.29205141, 0.02311307,1.26150626, 0.00921367,0.71388747, 0.00124151 ,
1.30103 , 1.09912401, 0.00885036,0.97784205, 0.00586394,0.71043335, 0.00130041 ,,3 , 2.31037538, 0.03451023,1.23014827, 0.00721498,0.71159628, 0.00124573 ,
1.60206 , 1.74953615, 0.02008318,1.20022688, 0.00638497,0.71035246, 0.00095916 ,,4 , 2.30881829, 0.03186455,1.23833726, 0.00819010,0.71240233, 0.00099425 ,
1.69897 , 1.97826361, 0.02204864,1.22528203, 0.00721423,0.71274933, 0.00080952 ,,
2 , 2.25750702, 0.02267802,1.23530781, 0.00921817,0.71183317, 0.00130172 ,,
2.30103 , 2.29526304, 0.02614539,1.22659551, 0.00613134,0.71153064, 0.00103670 ,,
2.47712 , 2.32102484, 0.03489875,1.23354442, 0.00430782,0.71107681, 0.00090449 ,,
3 , 2.28972789, 0.02678980,1.23513224, 0.00629423,0.71205856, 0.00095218 ,,
4 , 2.31716344, 0.02624781,1.24827080, 0.00783903,0.71214648, 0.00096751 ,,
