log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 7.51997843, 0.10569175,7.60506450, 0.04643405,7.64831870, 0.02603594 ,
-0.69897 , 3.79936193, 0.02794169,3.76543369, 0.01349115,3.92186560, 0.01145688 ,
-0.39794 , 1.90284641, 0.00899851,1.94242420, 0.00675291,2.04982930, 0.00387088 ,
-0.221849 , 1.31357875, 0.00542481,1.33092111, 0.00447001,1.43620224, 0.00184823 ,
-0.09691 , 1.01184851, 0.00415034,1.02675240, 0.00189062,1.13124238, 0.00164916 ,
0 , 0.83144758, 0.00218762,0.85465736, 0.00178542,0.95553188, 0.00078222 ,
0.0791812 , 0.71765231, 0.00167044,0.73848635, 0.00136154,0.84254277, 0.00080455 ,
0.146128 , 0.64009937, 0.00170550,0.66110429, 0.00104287,0.76442057, 0.00057772 ,
0.20412 , 0.58511943, 0.00168785,0.60869077, 0.00073066,0.71011680, 0.00059146 ,
0.255273 , 0.54356397, 0.00152913,0.56826192, 0.00062076,0.67014562, 0.00062762 ,
0.30103 , 0.51274678, 0.00121002,0.54014936, 0.00059638,0.64012187, 0.00043197 ,
0.60206 , 0.43873127, 0.00109083,0.46285639, 0.00068352,0.57840796, 0.00046229 ,
1 , 0.67719985, 0.00251168,0.71639854, 0.00186922,0.93540706, 0.00152161 ,
1.30103 , 1.26226209, 0.00896784,1.44571593, 0.00408473,1.65252211, 0.00308585 ,
1.60206 , 2.86588589, 0.04262161,3.26402631, 0.01726377,2.60821625, 0.00548311 ,
1.69897 , 3.69387335, 0.04784285,4.05289003, 0.01704261,2.94937831, 0.00667141 ,
2 , 8.32253382, 0.10289049,6.91406641, 0.04211788,4.28810097, 0.01016890 ,
2.30103 , 13.93861602, 0.24150725,10.45179723, 0.06025310,6.12956031, 0.02075968 ,
2.47712 , 17.63635095, 0.26586327,12.93316950, 0.12327890,7.42268285, 0.02590462 ,
3 , 34.08671600, 0.94657618,23.78721754, 0.29649753,13.71508014, 0.06504976 ,
4 , 105.21689998, 3.64330766,75.47373010, 1.55429288,43.00547160, 0.40504184 ,
