0.10 , 0.00933460 , 0.00000218 ,	0.00940156 , 0.00000223 ,	0.00940740 , 0.00000146 ,	0.00940718 , 0.00000183 ,	0.00945654 , 0.00000220 ,	0.00938845 , 0.00000208 ,	0.00938795 , 0.00000191 ,	0.00938920 , 0.00000190 ,	0.00948968 , 0.00000150 ,	0.00944779 , 0.00000173 ,	0.00936020 , 0.00000198 ,	0.00940966 , 0.00000222 ,
0.20 , 0.00916407 , 0.00000230 ,	0.00942644 , 0.00000219 ,	0.00943642 , 0.00000205 ,	0.00942824 , 0.00000194 ,	0.00963099 , 0.00000174 ,	0.00935555 , 0.00000173 ,	0.00935041 , 0.00000235 ,	0.00935610 , 0.00000141 ,	0.00976975 , 0.00000281 ,	0.00958851 , 0.00000193 ,	0.00926884 , 0.00000223 ,	0.00943642 , 0.00000191 ,
0.30 , 0.00887561 , 0.00000248 ,	0.00946393 , 0.00000188 ,	0.00949316 , 0.00000341 ,	0.00946794 , 0.00000307 ,	0.00994574 , 0.00000277 ,	0.00929964 , 0.00000243 ,	0.00928766 , 0.00000229 ,	0.00929856 , 0.00000234 ,	0.01025382 , 0.00000246 ,	0.00987320 , 0.00000232 ,	0.00915445 , 0.00000222 ,	0.00946509 , 0.00000237 ,
0.40 , 0.00848617 , 0.00000237 ,	0.00952203 , 0.00000267 ,	0.00962612 , 0.00000248 ,	0.00952058 , 0.00000256 ,	0.01045803 , 0.00000356 ,	0.00922524 , 0.00000316 ,	0.00919296 , 0.00000260 ,	0.00922640 , 0.00000257 ,	0.01098235 , 0.00000375 ,	0.01039113 , 0.00000266 ,	0.00906430 , 0.00000219 ,	0.00949518 , 0.00000252 ,
0.50 , 0.00801633 , 0.00000169 ,	0.00961137 , 0.00000336 ,	0.00991076 , 0.00000363 ,	0.00960560 , 0.00000324 ,	0.01129834 , 0.00000417 ,	0.00913652 , 0.00000169 ,	0.00906552 , 0.00000340 ,	0.00913241 , 0.00000295 ,	0.01203398 , 0.00000438 ,	0.01131292 , 0.00000449 ,	0.00907667 , 0.00000256 ,	0.00949961 , 0.00000382 ,
0.60 , 0.00747841 , 0.00000285 ,	0.00973306 , 0.00000230 ,	0.01060172 , 0.00000634 ,	0.00973441 , 0.00000370 ,	0.01272866 , 0.00000715 ,	0.00903013 , 0.00000265 ,	0.00892641 , 0.00000300 ,	0.00902150 , 0.00000347 ,	0.01352273 , 0.00000631 ,	0.01298708 , 0.00000575 ,	0.00926363 , 0.00000446 ,	0.00949772 , 0.00000406 ,
0.70 , 0.00692297 , 0.00000267 ,	0.00991104 , 0.00000451 ,	0.01251321 , 0.00000998 ,	0.00991556 , 0.00000349 ,	NaN , NaN ,	0.00890524 , 0.00000341 ,	0.00892480 , 0.00000369 ,	0.00890296 , 0.00000391 ,	0.01564505 , 0.00001017 ,	0.01620265 , 0.00001243 ,	0.00975401 , 0.00000370 ,	0.00944974 , 0.00000296 ,
0.80 , 0.00639282 , 0.00000258 ,	0.01018539 , 0.00000564 ,	0.01840566 , 0.00002737 ,	0.01018010 , 0.00000371 ,	0.02211895 , 0.00004114 ,	0.00878802 , 0.00000323 ,	0.00953504 , 0.00000926 ,	0.00878283 , 0.00000309 ,	0.01879055 , 0.00001144 ,	0.02264910 , 0.00002721 ,	0.01074804 , 0.00000416 ,	0.00939981 , 0.00000329 ,
0.90 , 0.00598628 , 0.00000278 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.01263744 , 0.00003649 ,	0.00866803 , 0.00000383 ,	0.02363100 , 0.00002779 ,	0.03601030 , 0.00005770 ,	0.01258028 , 0.00000882 ,	0.00935102 , 0.00000350 ,
1.00 , 0.00591659 , 0.00000393 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.03191145 , 0.00006730 ,	0.06457440 , 0.00022647 ,	0.01590663 , 0.00002562 ,	0.00929981 , 0.00000381 ,
1.20 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.03264466 , 0.00009650 ,	0.00917755 , 0.00000467 ,
1.50 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.14268067 , 0.00093331 ,	NaN , NaN ,
1.80 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,
