0.10 , 0.06238111 , 0.00000311 ,	0.06249685 , 0.00000335 ,	0.06250007 , 0.00000190 ,	0.06249881 , 0.00000239 ,	0.06261469 , 0.00000399 ,	0.06250300 , 0.00000324 ,	0.06250182 , 0.00000351 ,	0.06250362 , 0.00000256 ,	0.06260863 , 0.00000275 ,	0.06250911 , 0.00000319 ,	0.06242408 , 0.00000277 ,	0.06253689 , 0.00000354 ,
0.20 , 0.06205520 , 0.00000290 ,	0.06249529 , 0.00000238 ,	0.06250002 , 0.00000419 ,	0.06249953 , 0.00000266 ,	0.06295247 , 0.00000281 ,	0.06250453 , 0.00000238 ,	0.06249823 , 0.00000334 ,	0.06250413 , 0.00000288 ,	0.06293993 , 0.00000387 ,	0.06251806 , 0.00000315 ,	0.06223275 , 0.00000343 ,	0.06263188 , 0.00000223 ,
0.30 , 0.06149232 , 0.00000311 ,	0.06250239 , 0.00000294 ,	0.06250927 , 0.00000337 ,	0.06250453 , 0.00000385 ,	0.06354794 , 0.00000408 ,	0.06250263 , 0.00000315 ,	0.06249845 , 0.00000392 ,	0.06249746 , 0.00000327 ,	0.06348489 , 0.00000325 ,	0.06258100 , 0.00000451 ,	0.06197158 , 0.00000377 ,	0.06276692 , 0.00000355 ,
0.40 , 0.06070578 , 0.00000315 ,	0.06250531 , 0.00000380 ,	0.06251613 , 0.00000330 ,	0.06250166 , 0.00000333 ,	0.06442282 , 0.00000422 ,	0.06249708 , 0.00000446 ,	0.06250165 , 0.00000479 ,	0.06249935 , 0.00000387 ,	0.06423957 , 0.00000448 ,	0.06274989 , 0.00000366 ,	0.06171911 , 0.00000345 ,	0.06290770 , 0.00000299 ,
0.50 , 0.05970080 , 0.00000274 ,	0.06250722 , 0.00000530 ,	0.06255975 , 0.00000398 ,	0.06250586 , 0.00000479 ,	0.06565807 , 0.00000428 ,	0.06250693 , 0.00000294 ,	0.06251611 , 0.00000530 ,	0.06250398 , 0.00000614 ,	0.06520572 , 0.00000446 ,	0.06308911 , 0.00000500 ,	0.06157757 , 0.00000485 ,	0.06302253 , 0.00000640 ,
0.60 , 0.05847801 , 0.00000535 ,	0.06249970 , 0.00000467 ,	0.06270157 , 0.00000578 ,	0.06249626 , 0.00000555 ,	0.06732555 , 0.00000627 ,	0.06250582 , 0.00000536 ,	0.06255493 , 0.00000496 ,	0.06249862 , 0.00000614 ,	0.06638609 , 0.00000533 ,	0.06364530 , 0.00000564 ,	0.06161489 , 0.00000547 ,	0.06312065 , 0.00000457 ,
0.70 , 0.05704944 , 0.00000499 ,	0.06249074 , 0.00000651 ,	0.06313940 , 0.00000624 ,	0.06249937 , 0.00000551 ,	NaN , NaN ,	0.06250169 , 0.00000464 ,	0.06267448 , 0.00000483 ,	0.06250320 , 0.00000566 ,	0.06781101 , 0.00000556 ,	0.06449134 , 0.00000402 ,	0.06191732 , 0.00000494 ,	0.06314433 , 0.00000351 ,
0.80 , 0.05546141 , 0.00000472 ,	0.06249539 , 0.00000536 ,	0.06423400 , 0.00000597 ,	0.06250375 , 0.00000465 ,	0.07289231 , 0.00000830 ,	0.06250213 , 0.00000491 ,	0.06299138 , 0.00000417 ,	0.06249743 , 0.00000425 ,	0.06954425 , 0.00000646 ,	0.06569955 , 0.00000694 ,	0.06253675 , 0.00000494 ,	0.06313982 , 0.00000511 ,
0.90 , 0.05376768 , 0.00000538 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.06379481 , 0.00000761 ,	0.06250269 , 0.00000582 ,	0.07163803 , 0.00000769 ,	0.06734032 , 0.00000643 ,	0.06355334 , 0.00000563 ,	0.06312234 , 0.00000572 ,
1.00 , 0.05212206 , 0.00000553 ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.07420419 , 0.00001017 ,	0.06956121 , 0.00000848 ,	0.06497266 , 0.00000489 ,	0.06307471 , 0.00000494 ,
1.20 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.06934251 , 0.00000963 ,	0.06292791 , 0.00000707 ,
1.50 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.08043358 , 0.00000947 ,	NaN , NaN ,
1.80 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,
