  0.1,     958,      7.53040699,      0.08317282
  0.2,     552,      3.82759548,      0.02597863
  0.4,     332,      1.92463941,      0.01112176
  0.6,     276,      1.30666019,      0.00675090
  0.8,     131,      1.00452289,      0.00332616
  1.0,     109,      0.82628414,      0.00199319
  1.2,     104,      0.71569385,      0.00187761
  1.4,      99,      0.64005548,      0.00169460
  1.6,     178,      0.58771893,      0.00277904
  1.8,      78,      0.54210696,      0.00112685
  2.0,      92,      0.51030740,      0.00110048
  4.0,      99,      0.43687086,      0.00085036
   10,     406,      0.65657101,      0.00410522
   20,     415,      1.09297670,      0.00820832
   40,     907,      1.74969292,      0.01049516
   50,     841,      1.92345020,      0.02177158
  100,     910,      2.24698399,      0.01787454
  200,     839,      2.25240482,      0.02253544
  300,    1075,      2.28809990,      0.02631099
 1000,    1525,      2.33825487,      0.03528584
10000,     988,      2.30206233,      0.02763389
