0.05 , 0.08832247 , 0.00001047 ,0.08838726 , 0.00000874 ,0.08840082 , 0.00000918 ,0.08839766 , 0.00000605 ,0.08845074 , 0.00001074 ,0.08838168 , 0.00001095 ,0.08837597 , 0.00001104 ,0.08838727 , 0.00000798 ,
0.10 , 0.08815937 , 0.00001077 ,0.08837423 , 0.00000928 ,0.08838401 , 0.00001272 ,0.08837993 , 0.00000757 ,0.08860478 , 0.00000751 ,0.08839934 , 0.00000754 ,0.08837705 , 0.00001060 ,0.08838302 , 0.00000712 ,
0.20 , 0.08750980 , 0.00000888 ,0.08837275 , 0.00000857 ,0.08840618 , 0.00001035 ,0.08838289 , 0.00000620 ,0.08929191 , 0.00000644 ,0.08837566 , 0.00000997 ,0.08837688 , 0.00001171 ,0.08839861 , 0.00000625 ,
0.30 , 0.08641379 , 0.00001175 ,0.08840982 , 0.00001390 ,0.08837215 , 0.00001270 ,0.08840348 , 0.00000756 ,0.09042814 , 0.00001190 ,0.08838530 , 0.00001072 ,0.08840003 , 0.00000945 ,0.08839078 , 0.00000684 ,
0.40 , 0.08487044 , 0.00001182 ,0.08837456 , 0.00001202 ,0.08840367 , 0.00000898 ,0.08838635 , 0.00000874 ,0.09207084 , 0.00001270 ,0.08839380 , 0.00000925 ,0.08840161 , 0.00000959 ,0.08839499 , 0.00000781 ,
0.50 , 0.08286548 , 0.00001170 ,0.08837318 , 0.00001088 ,0.08840263 , 0.00001270 ,0.08837959 , 0.00001036 ,0.09427821 , 0.00000860 ,0.08837669 , 0.00001011 ,0.08838052 , 0.00001167 ,0.08838624 , 0.00001103 ,
0.60 , 0.08044325 , 0.00000994 ,0.08840567 , 0.00001270 ,0.08840190 , 0.00001335 ,0.08839761 , 0.00000838 ,0.09713193 , 0.00001529 ,0.08839026 , 0.00001371 ,0.08839653 , 0.00001050 ,0.08837332 , 0.00001122 ,
0.70 , 0.07757831 , 0.00001030 ,0.08838982 , 0.00001219 ,0.08838517 , 0.00000993 ,0.08839845 , 0.00000984 ,0.10070941 , 0.00001079 ,0.08839556 , 0.00000910 ,0.08838971 , 0.00001284 ,0.08839946 , 0.00001009 ,
0.80 , 0.07424942 , 0.00001448 ,0.08840410 , 0.00000894 ,0.08838388 , 0.00001492 ,0.08837778 , 0.00001196 ,0.10524616 , 0.00001793 ,0.08838038 , 0.00001275 ,0.08839192 , 0.00001294 ,0.08838717 , 0.00000816 ,
0.90 , 0.07046590 , 0.00001299 ,0.08838980 , 0.00001318 ,0.08837295 , 0.00001487 ,0.08838083 , 0.00001122 ,0.11083975 , 0.00001998 ,0.08838386 , 0.00001344 ,0.08837365 , 0.00001080 ,0.08841476 , 0.00001146 ,
1.00 , 0.06630868 , 0.00001022 ,0.08840243 , 0.00001167 ,0.08838718 , 0.00001581 ,0.08841289 , 0.00001144 ,0.11785044 , 0.00001341 ,0.08837503 , 0.00001371 ,0.08838491 , 0.00001280 ,0.08838905 , 0.00001231 ,
1.20 , 0.05657376 , 0.00001109 ,0.08838442 , 0.00001075 ,0.08836633 , 0.00000848 ,0.08838017 , 0.00001228 ,0.13806863 , 0.00002620 ,0.08837869 , 0.00001030 ,0.08840696 , 0.00001395 ,0.08840453 , 0.00001166 ,
1.50 , 0.03864731 , 0.00000742 ,0.08839279 , 0.00001631 ,0.08840173 , 0.00001168 ,0.08837731 , 0.00001664 ,0.20198753 , 0.00004458 ,0.08838269 , 0.00001683 ,0.08837518 , 0.00001417 ,0.08838427 , 0.00001187 ,
1.80 , 0.01679183 , 0.00000486 ,0.08835130 , 0.00001623 ,0.08838668 , 0.00001746 ,0.08838147 , 0.00001232 ,0.46509980 , 0.00013977 ,0.08839150 , 0.00001538 ,0.08841495 , 0.00001254 ,0.08838878 , 0.00001314 ,
