,30,,50,,100,,200,,
0.05,0.90347002,0.00007996,0.86001079,0.00007674,0.86566165,0.00005880,0.86608515,0.00007030,
0.10,0.86696425,0.00008541,0.86592580,0.00007103,0.86628406,0.00005979,0.86625929,0.00008060,
0.20,0.86744829,0.00008820,0.86721636,0.00008135,0.86727827,0.00010831,0.86719137,0.00007974,
0.30,0.86965789,0.00008309,0.86967133,0.00009180,0.86965366,0.00006390,0.86960705,0.00008874,
0.40,0.87673387,0.00008189,0.87653056,0.00010427,0.87664831,0.00006323,0.87673718,0.00009316,
0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
