,30,,50,,100,,200,,
0.05,0.70707936,0.00006424,0.70703167,0.00005701,0.70699805,0.00004583,0.70707929,0.00006424,
0.10,0.70693352,0.00005574,0.70698613,0.00004761,0.70700109,0.00004219,0.70698236,0.00006853,
0.20,0.70677096,0.00007067,0.70663802,0.00006187,0.70668072,0.00008717,0.70662834,0.00006220,
0.30,0.70633682,0.00006031,0.70634352,0.00006240,0.70634687,0.00005104,0.70634658,0.00006679,
0.40,0.70672862,0.00005778,0.70660596,0.00007118,0.70667972,0.00005878,0.70668398,0.00007043,
0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
