0.1,100, 4.68540293, 4.61546476, 7.46463402, 0.01193927, 0.01286856, 0.01834310,
0.12,100, 3.97617233, 3.90785376, 6.28280789, 0.00768080, 0.01338868, 0.01608216
0.14,100, 3.47392562, 3.41050634, 5.43957551, 0.00949581, 0.01078550, 0.01584941
0.16,100, 3.11129675, 3.04224005, 4.83764611, 0.00686598, 0.00730390, 0.01136521
0.18,100, 2.84141759, 2.74883568, 4.37320935, 0.00743897, 0.00620566, 0.01062297
0.2,100, 2.59497380, 2.51195775, 3.96972907, 0.00497169, 0.00497998, 0.00829091,
0.22,100, 2.40899550, 2.33279304, 3.66744840, 0.00605322, 0.00543368, 0.00902815
0.24,100, 2.24164900, 2.16315478, 3.38442181, 0.00427851, 0.00435497, 0.00650639
0.26,100, 2.11445189, 2.03703067, 3.17659339, 0.00415015, 0.00514337, 0.00826028
0.28,100, 2.00801844, 1.92097331, 2.99857108, 0.00451785, 0.00295036, 0.00700952
0.3,100, 1.90005323, 1.81690252, 2.82155880, 0.00509133, 0.00441133, 0.00723918,
0.32,100, 1.82425436, 1.72680609, 2.68776601, 0.00337022, 0.00404676, 0.00673412
0.34,100, 1.74665963, 1.63761295, 2.55466816, 0.00414980, 0.00337589, 0.00630083
0.36,100, 1.67192015, 1.56421334, 2.43105162, 0.00356137, 0.00382637, 0.00652819
0.38,100, 1.61568994, 1.50008824, 2.33623675, 0.00367462, 0.00334729, 0.00612175
0.4,100, 1.56548484, 1.43883787, 2.24405520, 0.00350300, 0.00304890, 0.00567586,
0.42,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.44,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.460.48,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   Na
0.5,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,  
0.52,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.54,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.56,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.58,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.6,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,  
0.62,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.64,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.66,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.68,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,, 
0.7,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,  
