0.1,100, 4.65739847, 4.58758136, 7.41968624, 0.01500300, 0.01524248, 0.02306154, 100, 4.65739847, 4.58758136, 7.41968624, 0.01500300, 0.01524248, 0.02306154
0.12,100, 3.97536209, 3.91256241, 6.28466850, 0.00941398, 0.01377935, 0.01834805, 100, 3.97536209, 3.91256241, 6.28466850, 0.00941398, 0.01377935, 0.01834805
0.14,100, 3.48755640, 3.42540399, 5.47155724, 0.00933270, 0.00836351, 0.01317510, 100, 3.48755640, 3.42540399, 5.47155724, 0.00933270, 0.00836351, 0.01317510
0.16,100, 3.11196479, 3.06844675, 4.86173874, 0.00884826, 0.00844724, 0.01568358, 100, 3.11196479, 3.06844675, 4.86173874, 0.00884826, 0.00844724, 0.01568358
0.18,100, 2.82360802, 2.76540118, 4.36701340, 0.00725217, 0.00437358, 0.01013368, 100, 2.82360802, 2.76540118, 4.36701340, 0.00725217, 0.00437358, 0.01013368
0.2,100, 2.58177577, 2.53701994, 3.97667742, 0.00521964, 0.00475073, 0.00855819, 100, 2.58177577, 2.53701994, 3.97667742, 0.00521964, 0.00475073, 0.00855819
0.22,100, 2.39902327, 2.34460657, 3.66484564, 0.00613069, 0.00516289, 0.00999963, 100, 2.39902327, 2.34460657, 3.66484564, 0.00613069, 0.00516289, 0.00999963
0.24,100, 2.22738407, 2.17497439, 3.38319921, 0.00486951, 0.00413119, 0.00704169, 100, 2.22738407, 2.17497439, 3.38319921, 0.00486951, 0.00413119, 0.00704169
0.26,100, 2.10573705, 2.04898954, 3.18357585, 0.00562967, 0.00447725, 0.00914595, 100, 2.10573705, 2.04898954, 3.18357585, 0.00562967, 0.00447725, 0.00914595
0.28,100, 1.99582354, 1.94005893, 3.00607148, 0.00413114, 0.00468983, 0.00753220, 100, 1.99582354, 1.94005893, 3.00607148, 0.00413114, 0.00468983, 0.00753220
0.3,100, 1.88003558, 1.82726372, 2.81370404, 0.00431181, 0.00453592, 0.00803538, 100, 1.88003558, 1.82726372, 2.81370404, 0.00431181, 0.00453592, 0.00803538
0.32,100, 1.79269269, 1.73640158, 2.66852964, 0.00273804, 0.00363655, 0.00580281, 100, 1.79269269, 1.73640158, 2.66852964, 0.00273804, 0.00363655, 0.00580281
0.34,100, 1.71652661, 1.65734399, 2.54331803, 0.00385035, 0.00375845, 0.00618554, 100, 1.71652661, 1.65734399, 2.54331803, 0.00385035, 0.00375845, 0.00618554
0.36,100, 1.64895195, 1.58609696, 2.43111068, 0.00335957, 0.00324511, 0.00582257, 100, 1.64895195, 1.58609696, 2.43111068, 0.00335957, 0.00324511, 0.00582257
0.38,100, 1.59090201, 1.52074852, 2.33403647, 0.00417382, 0.00259316, 0.00586254, 100, 1.59090201, 1.52074852, 2.33403647, 0.00417382, 0.00259316, 0.00586254
0.4,100, 1.53024631, 1.45755724, 2.23380142, 0.00414790, 0.00288809, 0.00668215, 100, 1.53024631, 1.45755724, 2.23380142, 0.00414790, 0.00288809, 0.00668215
0.42,100, 1.48324046, 1.39908118, 2.15080334, 0.00324411, 0.00374475, 0.00606496, 100, 1.48324046, 1.39908118, 2.15080334, 0.00324411, 0.00374475, 0.00606496
0.44,100, 1.44056087, 1.35272763, 2.08120104, 0.00253948, 0.00345958, 0.00554887, 100, 1.44056087, 1.35272763, 2.08120104, 0.00253948, 0.00345958, 0.00554887
0.46,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.48,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.5,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.52,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.54,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.56,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.58,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.6,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.62,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.64,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.66,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.68,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
0.7,100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN, 100,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN,,   NaN
