    0        0.000000000000        0.359772676589        0.463060639551	    0        0.000000000000        0.363725352632        0.463114752522	    0        0.000000000000        0.361518429334        0.463332813349	    0        0.000000000000        0.360347755827        0.462813794432
    1        0.300000000000        0.309148256001        0.048726548365	    1        0.300000000000        0.320323890283        0.004328547829	    1        0.300000000000        0.331666581380        0.024337380294	    1        0.300000000000        0.337563907237        0.077411982707
    2        0.600000000000        0.211317914147        0.002163259381	    2        0.600000000000        0.243282585394        0.001560086884	    2        0.600000000000        0.284266562011        0.000617845730	    2        0.600000000000        0.304015110257        0.011018859952
    3        0.900000000000        0.129755639889        0.004777405929	    3        0.900000000000        0.182217811539        0.001567119169	    3        0.900000000000        0.248990297297       -0.000085242136	    3        0.900000000000        0.278711071309        0.002315138058
    4        1.200000000000        0.075708554620        0.005995287807	    4        1.200000000000        0.137268686511        0.000974587673	    4        1.200000000000        0.216988368621       -0.000319981052	    4        1.200000000000        0.254208084582        0.000342064691
    5        1.500000000000        0.043178144879        0.005984786178	    5        1.500000000000        0.104121762503        0.000363488607	    5        1.500000000000        0.189627056897        0.000224255140	    5        1.500000000000        0.233214315012       -0.000156082709
    6        1.800000000000        0.024436308535        0.004243556785	    6        1.800000000000        0.079888425973        0.000254629573	    6        1.800000000000        0.166483066534       -0.000236951235	    6        1.800000000000        0.213263048946        0.000348301014
    7        2.100000000000        0.013588437700        0.002295106025	    7        2.100000000000        0.061479775312        0.000136736841	    7        2.100000000000        0.146490661656       -0.001318027671	    7        2.100000000000        0.195370005099        0.000066035325
    8        2.400000000000        0.007393531244        0.001209983765	    8        2.400000000000        0.047489124324       -0.000141012511	    8        2.400000000000        0.129478123483       -0.000417363645	    8        2.400000000000        0.179338497194        0.000291831905
    9        2.700000000000        0.004428837660        0.000333528386	    9        2.700000000000        0.036887059811        0.000193463701	    9        2.700000000000        0.114341333063       -0.000440766630	    9        2.700000000000        0.164843659447        0.000746562340
   10        3.000000000000        0.003078265140        0.000518906219	   10        3.000000000000        0.028652820474        0.000391832383	   10        3.000000000000        0.101031734869        0.000523837129	   10        3.000000000000        0.151595230450        0.000749880339
   11        3.300000000000        0.002157399865        0.000324145862	   11        3.300000000000        0.022325475119        0.000924831216	   11        3.300000000000        0.089470742573       -0.000689587803	   11        3.300000000000        0.139516295548       -0.000292724665
   12        3.600000000000        0.001295041581       -0.000016303145	   12        3.600000000000        0.017614696499        0.000226918524	   12        3.600000000000        0.079149245869       -0.000530889296	   12        3.600000000000        0.128343790918       -0.000692277292
   13        3.900000000000        0.000675641356       -0.000000215716	   13        3.900000000000        0.013917250246        0.000039674009	   13        3.900000000000        0.070090662939       -0.000216124190	   13        3.900000000000        0.118039429353        0.000496628771
   14        4.200000000000        0.000476461011        0.000124307029	   14        4.200000000000        0.010908230901        0.000560491241	   14        4.200000000000        0.062243358689       -0.000095788257	   14        4.200000000000        0.108918117375        0.000487453007
   15        4.500000000000        0.000418833772        0.000696544847	   15        4.500000000000        0.008546775711       -0.000096098237	   15        4.500000000000        0.055374164701       -0.000060273736	   15        4.500000000000        0.100250916287        0.000669374120
   16        4.800000000000        0.000372838412       -0.000347953792	   16        4.800000000000        0.006889880491        0.000396697932	   16        4.800000000000        0.049094331477        0.000242846618	   16        4.800000000000        0.092407628367       -0.000204605629
   17        5.100000000000        0.000328666536        0.000232607447	   17        5.100000000000        0.005478090039       -0.000213496620	   17        5.100000000000        0.043562385588        0.000088457670	   17        5.100000000000        0.085647900134        0.000119609444
   18        5.400000000000        0.000414740793        0.000075662757	   18        5.400000000000        0.004191750673        0.000255158442	   18        5.400000000000        0.038640860059       -0.000019613174	   18        5.400000000000        0.079226976199       -0.000362625249
   19        5.700000000000        0.000459267467        0.000400576993	   19        5.700000000000        0.003319722945       -0.000082202859	   19        5.700000000000        0.034242694829        0.000340886988	   19        5.700000000000        0.073097076075       -0.000169306028
   20        6.000000000000        0.000406812488        0.000076818840	   20        6.000000000000        0.003016269014        0.000257995946	   20        6.000000000000        0.030186397367       -0.000099436850	   20        6.000000000000        0.067522804330       -0.000149827925
   21        6.300000000000        0.000269695868       -0.000459742402	   21        6.300000000000        0.002678913121       -0.000000465767	   21        6.300000000000        0.026609283968       -0.000086533058	   21        6.300000000000        0.062462029223       -0.000578261132
   22        6.600000000000        0.000103507140        0.000563253819	   22        6.600000000000        0.002152018587        0.000423180201	   22        6.600000000000        0.023516528849        0.000094306603	   22        6.600000000000        0.057590003350       -0.000075227344
   23        6.900000000000        0.000030353473       -0.000116343461	   23        6.900000000000        0.001947020339        0.000076651478	   23        6.900000000000        0.020882487016        0.000306328990	   23        6.900000000000        0.053460632465        0.000313443332
