0.1,300,1.00305760,34.24740250,12.24544735,0.00212746,0.14762323,0.06382906
0.12,200,0.99693983,24.00216448,8.79682695,0.00239559,0.11904730,0.05214803
0.14,150,0.99989832,17.88170065,6.76018809,0.00253406,0.05184212,0.02168255
0.16,120,1.00308435,13.79779823,5.42189661,0.00145873,0.04033551,0.01854424
0.18     100      1.00193748     11.04440673      4.49709284      0.00162671      0.02538051      0.01071683
0.2     100      1.00454893      9.05601922      3.83102747      0.00162832      0.02208059      0.01112339
0.22     100      1.00053206      7.62650351      3.36437636      0.00143655      0.02692319      0.00971063
0.24     100      1.00353441      6.45324892      2.96196020      0.00148943      0.01989410      0.00877932
0.26     100      1.00132441      5.61299718      2.68415902      0.00199983      0.01384219      0.00497564
0.28     100      1.00458651      4.93646820      2.46623268      0.00158977      0.01214778      0.00518300
0.3     100      1.00608744      4.34015374      2.26344841      0.00173028      0.01201933      0.00599531
0.32     100      1.00653202      3.91111930      2.12841382      0.00195604      0.01061147      0.00561810
0.34     100      1.00898980      3.53561855      1.99986109      0.00227200      0.00915782      0.00453529
0.36     100      1.00749326      3.20587729      1.88880984      0.00144264      0.00924266      0.00472980
0.38     100      1.01059032      2.93695061      1.80656210      0.00155463      0.01009347      0.00584217
0.4     100      1.01206321      2.69828421      1.72602112      0.00121701      0.00611251      0.00338810
0.42     100      1.01255287      2.51804765      1.66441825      0.00148835      0.00739676      0.00429145
0.44     100      1.01321148      2.31303779      1.59746267      0.00140475      0.00382902      0.00277537
0.46     100      1.01647048      2.16706281      1.55096605      0.00164149      0.00624786      0.00435209
0.48     100      1.02053078      2.01753682      1.50109485      0.00125525      0.00448437      0.00305510
0.5     100      1.02119498      1.89628929      1.45815578      0.00117460      0.00325453      0.00225619
0.52     100      1.02695824      1.78596896      1.42688224      0.00108061      0.00405650      0.00335685
0.54     100      1.02836522      1.68183731      1.38847119      0.00127559      0.00308226      0.00225239
0.56     100      1.03077168      1.58835294      1.35441705      0.00198857      0.00422700      0.00362099
0.58     100      1.03984516      1.50557017      1.32858405      0.00171874      0.00264806      0.00221823
0.6     100      1.04574817      1.43494700      1.30460351      0.00142035      0.00250548      0.00242332
0.62     100             NaN             NaN             NaN             NaN             NaN             NaN
0.64     100             NaN             NaN             NaN             NaN             NaN             NaN
0.66     100             NaN             NaN             NaN             NaN             NaN             NaN
0.68     100             NaN             NaN             NaN             NaN             NaN             NaN
0.7     100             NaN             NaN             NaN             NaN             NaN             NaN
