0.05,0.01,450000,1239.78081039,165203.13452442,49803.41058122
0.05,0.02,320000,301.41508626,117507.55612384,34534.67372154
0.05,0.05,250000,143.97668884,86817.12887346,32773.28282159
0.05,0.1,220000,68.71377643,75057.82308592,26955.40884967
0.05,0.2,250000,42.68266010,48932.16727260,22291.79843577
0.05,0.4,100000,21.87184072,27198.44522786,12158.69686624
0.05,0.6,120000,14.40533891,23654.71400447,12238.47065132
0.05,0.8,70000,10.53645850,17601.72034331,8895.36906235
0.05,1.0,50000,8.41873938,12941.08649543,6062.36776154
0.05,1.2,70000,7.83556663,13470.40241558,7024.29713306
0.05,1.4,50000,7.46967232,10330.78726305,5127.68047821
0.05,1.6,60000,6.35679505,9990.96838557,4961.98667756
0.05,1.8,60000,6.65083321,9223.99622387,4864.42188947
0.05,2.0,40000,5.19953919,8574.47066225,4563.54010023
0.05,4.0,20000,3.03305502,3775.85202948,1826.58756812
0.05,10,7500,1.58410914,1596.53060441,793.14810540
0.05,20,10000,1.15896796,897.96461924,456.91855130
0.05,40,3000,1.00400274,508.18353792,254.66869652
0.05,50,4000,0.99588583,460.46182766,230.49958913
0.05,100,3000,0.99777538,395.02103012,196.98709370
0.05,200,5000,0.99230646,402.29268508,202.22960341
0.05,300,5000,0.98368619,394.59575791,194.11620172
0.05,1000,2000,1.01406328,404.01335385,206.17260346
0.05,10000,2000,1.00730426,385.07517562,191.10992635
