gamma,analytical  , block-part   , typical      , block-all      , , analytical   , block-part     , typical      , block-all
0.4   ,                , 29722.05495474 , 34648.22687396 , 38301.42840255    , ,                   , 15258.48414005    , 17320.22003943 , 20153.62242331
0.6   ,                , 22357.46247939 , 25735.29210478 , 25529.40222092    , ,                   , 11584.29033584   , 13065.25479239 , 12063.88575229               
0.8   ,                , 21278.53776353 , 18679.13664172  , 20343.73774672    , ,                   , 13360.08140223   , 8678.06506972  , 10180.86773641
1.0   ,                , 18788.05035348 , 15039.07005348  , 15956.17739106    , ,                   , 10414.63036861   , 7388.17716431   , 8251.57229988
1.2   ,                , 11950.47132476  , 12218.11843578  ,  13799.51301121    , ,                   , 8061.45488908    , 6006.06776617   , 7083.09144278 
1.4   ,                , 11893.58275173  , 10973.82152779  , 11411.38547525     , ,                   , 5859.98878108    , 5349.34955763  , 5705.85781185
1.6   ,                , 11117.35240633  , 10260.98928807  ,  10129.30532175   , ,                   ,  4660.15100761    , 5172.63040542  , 5321.58800181
1.8   ,                , 9082.75631980  , 8659.50042577  ,  8834.06814653    , ,                   , 3888.89079438    , 4350.96369737  , 4464.82620092
2.0   ,                , 7559.61359715  , 8032.67448660  ,  8189.01047773    , ,                   , 3754.08251082     , 4080.87223223  , 4262.24898421
