0.05,0.01,10000,1009.65408790,1009.08524112,2009.47020005
0.05,0.02,6000,490.13108862,490.10733037,978.41482857
0.05,0.05,2500,193.65465186,193.99883981,387.59759441
0.05,0.1,2000,98.73514870,99.55974109,197.44385972
0.05,0.2,1000,50.33695572,52.35144334,101.24267455
0.05,0.4,500,25.21381654,29.10481180,51.80528194
0.05,0.6,500,17.35537907,23.21737731,37.07072737
0.05,0.8,200,13.01000600,21.00481470,29.52775875
0.05,1.0,200,10.45139838,20.44149630,25.43534085
0.05,1.2,200,8.84282845,20.82190741,23.15896091
0.05,1.4,200,7.67836494,21.77783988,21.92505161
0.05,1.6,200,6.79328412,22.82957998,21.11838669
0.05,1.8,150,6.08418928,24.09494623,20.70514791
0.05,2.0,200,5.56619669,25.50900899,20.59089845
0.05,4.0,500,3.05205299,42.48789352,25.21680965
0.05,10,1000,1.57896660,98.37433056,50.95695959
0.05,20,2000,1.13589852,190.24545399,96.62087022
0.05,40,2000,1.01113891,299.67049687,151.06441810
0.05,50,2000,1.00842049,336.31502757,168.90799104
0.05,100,3000,1.00205686,387.49134650,195.49071466
0.05,200,3000,1.00130556,393.88475536,197.59665660
0.05,300,3000,0.99416262,398.55111833,199.82258951
0.05,1000,3000,1.00121360,402.73526888,201.44310486
0.05,10000,3000,0.98990729,392.22491770,196.00933020
