  0.1,     506,      7.62235389
  0.2,     330,      3.83140728
  0.4,     144,      1.93968673
  0.6,     110,      1.33525952
  0.8,      96,      1.03929265
  1.0,      67,      0.85722820
  1.2,      86,      0.74311459
  1.4,      73,      0.66707571
  1.6,      72,      0.61137045
  1.8,     167,      0.57338774
  2.0,     118,      0.54260304
  4.0,      83,      0.46844383
   10,     155,      0.66303260
   20,     206,      0.96489634
   40,     271,      1.20107183
   50,     270,      1.22424986
  100,     273,      1.23000425
  200,     266,      1.23926423
  300,     299,      1.23280727
  100,     273,      1.23000425
10000,     278,      1.24155109
  0.1,    2247,      7.61895268
  0.2,    2278,      3.74952885
  0.4,    6860,      1.98208011
  0.6,    1997,      1.33950596
  0.8,   34585,      1.01883772
  1.4,  157451,      0.63670436
10000,   59456,      1.36651266
