log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 9.95857984, 0.13269359,9.94716102, 0.07098780,10.27936099, 0.06902025 ,,-0.39794 , 747.25355443, 97.15478265,260.11658714, 23.09351342,29.16103969, 0.46596063 ,
-0.69897 , 5.03745312, 0.04239930,5.08878628, 0.02121496,5.16895174, 0.01845957 ,,-0.09691 , 377.78242120, 37.21145242,124.16565478, 7.36078254,14.91214255, 0.17791516 ,
-0.39794 , 2.61503475, 0.01313627,2.63204487, 0.01111135,2.75605459, 0.00743589 ,,0.0791812 , 244.43637855, 34.31804985,84.93387862, 3.76102139,9.70032279, 0.08635017 ,
-0.221849 , 1.84586629, 0.00828834,1.87770193, 0.00801655,1.97766984, 0.00392761 ,,0.20412 , 253.67041494, 32.87435535,61.00889008, 3.42881323,7.49992712, 0.05880987 ,
-0.09691 , 1.47220674, 0.00553762,1.50116173, 0.00427254,1.61206972, 0.00312236 ,,0.30103 , 178.72945700, 12.62706206,48.92532434, 1.70313766,6.15073384, 0.03619516 ,
0 , 1.27794156, 0.00407698,1.29548287, 0.00288102,1.41292631, 0.00164814 ,,0.60206 , 89.71570010, 6.19334211,25.19599877, 0.58919853,3.42300436, 0.01716803 ,
0.0791812 , 1.16080552, 0.00471098,1.18145422, 0.00274341,1.30211715, 0.00196441 ,,1 , 38.52515936, 1.41551970,10.59746823, 0.18849246,2.20388656, 0.00870502 ,
0.146128 , 1.09089128, 0.00298305,1.12026404, 0.00235633,1.23577050, 0.00160419 ,,1.30103 , 23.00921861, 0.81695261,6.68644479, 0.06878650,2.04950396, 0.00571211 ,
0.20412 , 1.04918952, 0.00217511,1.07641533, 0.00181565,1.19607231, 0.00137314 ,,1.60206 , 13.42790567, 0.24130569,5.34677098, 0.06016533,2.04331263, 0.00630074 ,
0.255273 , 1.02838004, 0.00280344,1.06124585, 0.00193543,1.17740722, 0.00141393 ,,1.69897 , 11.80398829, 0.18440417,5.15531247, 0.04646131,2.04201688, 0.00649869 ,
0.30103 , 1.02189860, 0.00330355,1.05156865, 0.00256033,1.17050491, 0.00142124 ,,2 , 9.79177276, 0.24150882,5.11728337, 0.05514880,2.04400435, 0.00546439 ,
0.60206 , 1.26718086, 0.00806663,1.28839433, 0.00471710,1.35674399, 0.00276874 ,,2.30103 , 9.99462780, 0.31899631,5.10460581, 0.04765166,2.04410884, 0.00673720 ,
1 , 2.53885265, 0.02222348,2.47219718, 0.01503034,1.90119586, 0.00455795 ,,2.47712 , 9.89212192, 0.22343012,5.10452787, 0.05052220,2.03625405, 0.00673345 ,
1.30103 , 4.69710396, 0.06953534,3.98272520, 0.03884820,2.04277955, 0.00825883 ,,3 , 10.11092709, 0.19804133,5.00022338, 0.05683341,2.03238815, 0.00619641 ,
1.60206 , 7.70826135, 0.16976134,4.93234092, 0.04575817,2.03459230, 0.00613692 ,,4 , 9.92638325, 0.22016534,5.04120566, 0.04898335,2.02784161, 0.00526280 ,
1.69897 , 8.23189910, 0.15110355,4.99277105, 0.06494438,2.03992360, 0.00727328 ,,
2 , 9.71842414, 0.16944752,5.20005348, 0.08132994,2.04212854, 0.00711976 ,,
2.30103 , 9.71148427, 0.20162164,4.95444959, 0.05190008,2.03280791, 0.00725920 ,,
2.47712 , 10.45706467, 0.34059925,5.15527492, 0.06520699,2.04961866, 0.00559231 ,,
3 , 10.09533078, 0.17852585,5.08989656, 0.05567404,2.04368614, 0.00729710 ,,
4 , 9.97119304, 0.20718181,5.15906465, 0.05746664,2.03366809, 0.00577817 ,,
