log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 10.30826590, 0.15157553,10.05858271, 0.05875739,10.12876942, 0.03145011 ,
-0.69897 , 5.06914569, 0.09439277,5.07574814, 0.02774943,5.18486745, 0.01596528 ,
-0.39794 , 2.53974663, 0.07321059,2.62271665, 0.00867399,2.75165735, 0.00557804 ,
-0.221849 , 1.84230481, 0.04195411,1.85800892, 0.00587586,1.97220349, 0.00366604 ,
-0.09691 , 1.49329172, 0.01981077,1.49461676, 0.00398144,1.59894574, 0.00196305 ,
0 , 1.27963331, 0.00871161,1.29448546, 0.00204047,1.40427652, 0.00209667 ,
0.0791812 , 1.24730920, 0.05735736,1.18203395, 0.00253819,1.29356374, 0.00146643 ,
0.146128 , 1.06846380, 0.01919649,1.10946278, 0.00194635,1.22802263, 0.00111822 ,
0.20412 , 1.02564841, 0.01540727,1.07847136, 0.00169430,1.19396684, 0.00099886 ,
0.255273 , 1.04805180, 0.01632977,1.05336898, 0.00219350,1.17580732, 0.00135037 ,
0.30103 , 1.02232910, 0.01084491,1.05099815, 0.00158715,1.17579314, 0.00106729 ,
0.60206 , 1.28730383, 0.03532436,1.31702580, 0.00480824,1.52659046, 0.00280689 ,
1 , 2.69858855, 0.06079895,2.84594978, 0.02072841,3.94407608, 0.01202757 ,
1.30103 , 5.30663610, 0.17868446,6.34697781, 0.04928111,9.18324973, 0.03520895 ,
1.60206 , 12.91958071, 0.33006092,16.28210097, 0.23614951,19.67977510, 0.14692802 ,
1.69897 , 17.26943386, 0.34979301,21.97923328, 0.30975012,24.51942638, 0.23652281 ,
2 , 43.99095744, 1.00023237,46.88226009, 0.94190697,50.00281140, 0.51635282 ,
2.30103 , 92.40458671, 3.29285560,98.32224940, 1.94353916,100.44433563, 1.48907558 ,
2.47712 , 144.36166987, 7.45735444,137.19399088, 3.32694092,144.55734982, 1.88146760 ,
3 , 490.76224873, 36.47123171,484.32186652, 25.67142045,500.32584534, 13.21552050 ,
4 , 3072.54567376, 382.23071245,3853.15336778, 334.74700762,4429.28831440, 307.27613642 ,
