log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 5.52093990, 0.71893225,4.98309411, 0.02412747,5.14991038, 0.01470334 ,
-0.69897 , 2.54315344, 0.30719433,2.61352897, 0.01343942,2.73401384, 0.00841812 ,
-0.39794 , 1.51870756, 0.14627162,1.48230055, 0.00431544,1.59550898, 0.00288916 ,
-0.221849 , 1.15282825, 0.02635489,1.17513902, 0.00316995,1.28163079, 0.00201482 ,
-0.09691 , 1.06166497, 0.04028895,1.06597632, 0.00185393,1.17231187, 0.00123487 ,
0 , 1.00063994, 0.02340075,1.04466928, 0.00144955,1.14924908, 0.00178180 ,
0.0791812 , 1.16997412, 0.05856226,1.06362280, 0.00206337,1.16468824, 0.00113671 ,
0.146128 , 1.13045012, 0.10112021,1.10084194, 0.00140633,1.21000758, 0.00116837 ,
0.20412 , 1.10090509, 0.04551578,1.16198997, 0.00197542,1.26648378, 0.00092833 ,
0.255273 , 1.18123975, 0.04357531,1.22390749, 0.00220252,1.33092987, 0.00143713 ,
0.30103 , 1.27290500, 0.02195697,1.29877374, 0.00201353,1.40168176, 0.00125837 ,
0.60206 , 2.08482788, 0.09316556,2.18076217, 0.00675651,2.27968196, 0.00405898 ,
1 , 5.09695090, 0.11497382,5.09478107, 0.02850598,5.21277246, 0.01490662 ,
1.30103 , 9.77168146, 0.30961350,9.97246714, 0.06689881,10.13352105, 0.03781716 ,
1.60206 , 20.41114638, 0.51254677,20.02971264, 0.28615615,20.19462746, 0.14938607 ,
1.69897 , 24.98714501, 0.43352741,25.38932029, 0.33544731,24.93382569, 0.23884876 ,
2 , 50.86696505, 1.11301577,48.79139387, 0.96379904,50.21432398, 0.51800176 ,
2.30103 , 96.10651808, 3.37119902,99.33170427, 1.96568514,100.54462138, 1.48990453 ,
2.47712 , 146.99640304, 7.52807280,137.83724180, 3.33129250,144.62800272, 1.88163584 ,
3 , 491.54480512, 36.50117067,484.53086917, 25.67498557,500.34653260, 13.21559440 ,
4 , 3072.62056885, 382.23330372,3853.16796989, 334.74622698,4429.28724652, 307.27676885 ,
