log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 4.86116462, 0.54719326,4.93396422, 0.03423251,5.13152940, 0.01720631 ,
-0.69897 , 2.31912138, 0.24323830,2.59639837, 0.00734707,2.72954625, 0.00690545 ,
-0.39794 , 1.19723633, 0.09677789,1.48834857, 0.00445239,1.59412544, 0.00279185 ,
-0.221849 , 1.18044347, 0.09322748,1.17305142, 0.00379181,1.27176348, 0.00141958 ,
-0.09691 , 1.06299996, 0.04799058,1.06465700, 0.00207506,1.16503679, 0.00134732 ,
0 , 1.06652638, 0.10886685,1.04623071, 0.00197497,1.14376219, 0.00149623 ,
0.0791812 , 1.00306250, 0.03723456,1.06387891, 0.00152249,1.15694490, 0.00122206 ,
0.146128 , 1.05651398, 0.01858533,1.10205957, 0.00176172,1.19741349, 0.00087985 ,
0.20412 , 1.12652528, 0.04066075,1.15954630, 0.00157650,1.25493239, 0.00115831 ,
0.255273 , 1.14372274, 0.03526546,1.22627945, 0.00176476,1.31993623, 0.00162072 ,
0.30103 , 1.27077578, 0.03922614,1.29381524, 0.00329105,1.39194265, 0.00201535 ,
0.60206 , 2.09731387, 0.06963190,2.16261950, 0.00731480,2.26061310, 0.00500070 ,
1 , 4.92565914, 0.11979061,5.06380525, 0.02937450,5.13945172, 0.01892675 ,
1.30103 , 9.77543089, 0.09690982,10.07033711, 0.08563750,10.10588798, 0.05814181 ,
1.60206 , 20.47971697, 0.54180225,19.42275226, 0.18792511,20.16397185, 0.11204119 ,
1.69897 , 25.89366424, 0.66853178,24.61176111, 0.33315488,24.55026902, 0.18004434 ,
2 , 48.12799519, 0.94767734,51.58512383, 1.07111091,50.67722649, 0.52462159 ,
2.30103 , 100.97454453, 4.28335315,96.49839960, 2.44339051,97.20565317, 1.41872820 ,
2.47712 , 142.86686503, 5.17927390,145.91657029, 4.52949997,152.63740920, 3.45031723 ,
3 , 416.17244617, 20.16662889,482.70960236, 21.13303552,476.50373644, 13.93566714 ,
4 , 3037.33649241, 498.22025826,3545.09099964, 322.57153385,4092.04842823, 349.47471365 ,
