log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 3.83458888, 0.97325041,5.02604557, 0.02242201,5.14803659, 0.01454371 ,
-0.69897 , 2.88530674, 0.36115944,2.61719756, 0.01595846,2.73271317, 0.00664846 ,
-0.39794 , 1.35486293, 0.05023057,1.48065623, 0.00365347,1.59158254, 0.00242270 ,
-0.221849 , 1.18936400, 0.03526612,1.17694611, 0.00341068,1.27591255, 0.00174914 ,
-0.09691 , 1.03740186, 0.05615099,1.06983111, 0.00145036,1.16733583, 0.00154643 ,
0 , 1.01308591, 0.05614696,1.04575561, 0.00157969,1.14140007, 0.00139042 ,
0.0791812 , 1.07294379, 0.09717707,1.06585026, 0.00220178,1.15753045, 0.00105666 ,
0.146128 , 1.14101192, 0.06983960,1.10412521, 0.00129103,1.19912269, 0.00110104 ,
0.20412 , 1.13100447, 0.03032713,1.15985496, 0.00200951,1.25507590, 0.00107812 ,
0.255273 , 1.21524607, 0.09382369,1.22837864, 0.00193771,1.31960338, 0.00154158 ,
0.30103 , 1.23004969, 0.02305155,1.29937903, 0.00264460,1.38901688, 0.00164600 ,
0.60206 , 2.29249933, 0.07037201,2.16734167, 0.00736794,2.25913114, 0.00508844 ,
1 , 4.91753488, 0.18058697,5.11888715, 0.02766614,5.14047688, 0.01405386 ,
1.30103 , 10.12169855, 0.18913382,10.06494399, 0.09096672,10.04100699, 0.04179879 ,
1.60206 , 19.95309298, 0.37865580,19.81276471, 0.31902716,20.32073255, 0.12404046 ,
1.69897 , 24.70712517, 0.46715776,24.89024682, 0.24922202,24.82427242, 0.18058873 ,
2 , 50.28886229, 1.06226498,50.35287672, 1.22453670,49.84692739, 0.57091781 ,
2.30103 , 90.04028926, 2.65173971,94.69033690, 2.61914283,97.51684040, 1.38530855 ,
2.47712 , 151.45136523, 9.38509317,148.00504373, 5.55019692,149.11576218, 4.00032139 ,
3 , 428.09647315, 33.33943208,496.86931075, 37.00372995,514.22188312, 21.01251577 ,
4 , 2334.90423470, 206.81821051,3774.23721265, 305.31488629,4026.30569077, 269.83279060 ,
