log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 5.00962744, 0.05525937,5.02323840, 0.03478406,5.23446037, 0.03154716 ,,-0.39794 , 1532.81077680, 139.28356867,522.73992918, 36.49373584,53.43051521, 0.79568166 ,
-0.69897 , 2.60357142, 0.02184326,2.64092188, 0.01112106,2.72309343, 0.00790066 ,,-0.09691 , 806.04790361, 51.84018168,246.43382136, 9.93569062,27.25187913, 0.28277993 ,
-0.39794 , 1.47031076, 0.00774511,1.48735879, 0.00622974,1.59107572, 0.00384643 ,,0.0791812 , 507.51562505, 35.09016819,167.42460908, 5.24629809,17.68939416, 0.12197378 ,
-0.221849 , 1.16162783, 0.00484265,1.18732773, 0.00364765,1.26959232, 0.00232367 ,,0.20412 , 499.45750715, 48.85930586,119.58208675, 4.82587494,13.58435452, 0.08754722 ,
-0.09691 , 1.04579058, 0.00285826,1.07290819, 0.00270869,1.15710499, 0.00192624 ,,0.30103 , 352.94217418, 17.62264865,96.88919743, 2.30872968,11.03908390, 0.05362948 ,
0 , 1.02796339, 0.00319082,1.04492833, 0.00188844,1.12561356, 0.00117873 ,,0.60206 , 181.05981016, 8.32401627,50.28040879, 1.04200524,6.03948615, 0.02403369 ,
0.0791812 , 1.04049204, 0.00359424,1.06079964, 0.00223980,1.13740587, 0.00137552 ,,1 , 77.75989774, 2.14051018,21.08896152, 0.27108255,3.73189230, 0.01251089 ,
0.146128 , 1.08221834, 0.00298302,1.10804905, 0.00230394,1.17057628, 0.00117104 ,,1.30103 , 45.19080623, 1.34201499,13.16662799, 0.08987156,3.42797233, 0.00805528 ,
0.20412 , 1.13393672, 0.00253912,1.15552417, 0.00142080,1.21811902, 0.00109822 ,,1.60206 , 26.45271149, 0.32559560,10.40799346, 0.09060843,3.41334910, 0.00969549 ,
0.255273 , 1.19262932, 0.00688711,1.22458670, 0.00231590,1.27364013, 0.00119056 ,,1.69897 , 23.55928510, 0.31020056,10.07330261, 0.06859778,3.40492252, 0.00939527 ,
0.30103 , 1.27109764, 0.00414544,1.29241937, 0.00343866,1.33287433, 0.00152756 ,,2 , 19.72506732, 0.37165412,10.00687946, 0.09138050,3.41936065, 0.00887490 ,
0.60206 , 2.13281096, 0.01318528,2.13321875, 0.00764822,1.98904864, 0.00422471 ,,2.30103 , 19.89547394, 0.49993554,10.01578536, 0.07859212,3.41287652, 0.00956610 ,
1 , 4.91485813, 0.04076590,4.68684079, 0.02709037,3.12467986, 0.00514102 ,,2.47712 , 19.77497878, 0.38198628,9.99446865, 0.08693135,3.40459920, 0.00957173 ,
1.30103 , 9.22061137, 0.10456745,7.72389895, 0.05876379,3.40551674, 0.01228406 ,,3 , 19.93680678, 0.25848594,9.82487275, 0.08595664,3.39163393, 0.00949518 ,
1.60206 , 15.29094681, 0.23564600,9.62150879, 0.06734728,3.40406942, 0.01040761 ,,4 , 19.73557618, 0.31949719,9.87730210, 0.08522004,3.38880077, 0.00672103 ,
1.69897 , 16.44383618, 0.23528007,9.77862103, 0.09987791,3.40570298, 0.01140963 ,,
2 , 19.38427661, 0.22596147,10.10619635, 0.11897761,3.40932793, 0.01039185 ,,
2.30103 , 19.52215847, 0.32169415,9.70604106, 0.07761415,3.39933175, 0.00987932 ,,
2.47712 , 20.45537760, 0.51922850,10.07790105, 0.10698971,3.42412958, 0.00875597 ,,
3 , 19.85245290, 0.26747561,9.97352873, 0.09432254,3.41232335, 0.01079353 ,,
4 , 19.84705611, 0.37243378,10.05754555, 0.09152082,3.40029564, 0.00936251 ,,
