log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 9.65783016, 0.29311880,9.95094804, 0.07950318,10.15096620, 0.04115454 ,
-0.69897 , 5.01761314, 0.03243915,5.04886863, 0.01784403,5.18843998, 0.01573529 ,
-0.39794 , 2.59196223, 0.03497363,2.65209610, 0.01063504,2.75725305, 0.00624096 ,
-0.221849 , 1.83325882, 0.01900442,1.85422785, 0.00809805,1.95838131, 0.00296920 ,
-0.09691 , 1.48151590, 0.01555774,1.49113310, 0.00305338,1.59418373, 0.00217035 ,
0 , 1.22514026, 0.04355591,1.29532247, 0.00255581,1.39816545, 0.00191218 ,
0.0791812 , 1.13369040, 0.02269315,1.18118634, 0.00218012,1.28240048, 0.00143600 ,
0.146128 , 1.06645665, 0.01668176,1.11209176, 0.00206623,1.21223023, 0.00095627 ,
0.20412 , 1.01983269, 0.02481294,1.07309621, 0.00173010,1.17493826, 0.00139288 ,
0.255273 , 1.02698429, 0.02241641,1.05723948, 0.00157285,1.15658271, 0.00133675 ,
0.30103 , 1.00412867, 0.03062115,1.04739971, 0.00282615,1.14980864, 0.00168068 ,
0.60206 , 1.25181043, 0.04194670,1.29552736, 0.00532396,1.40306830, 0.00303338 ,
1 , 2.51700133, 0.06009333,2.63005977, 0.01908645,2.73544060, 0.01315901 ,
1.30103 , 4.86385723, 0.04768970,5.10671431, 0.05724219,5.18812201, 0.03569742 ,
1.60206 , 10.10667904, 0.56356601,9.70494986, 0.13831073,10.19190362, 0.08637905 ,
1.69897 , 12.85026216, 0.54123085,12.17223807, 0.20807657,12.28236180, 0.11710526 ,
2 , 23.62546344, 0.62648276,26.19219149, 0.70303473,25.55771928, 0.31153815 ,
2.30103 , 51.48985529, 2.99702941,47.77751136, 1.63638338,48.56107140, 0.84719270 ,
2.47712 , 71.94615028, 4.27455131,72.79493475, 3.34349693,76.14656288, 2.22356931 ,
3 , 203.81073360, 13.99502809,239.19594561, 13.46881008,234.65998237, 10.49691526 ,
4 , 1522.64904618, 336.05713720,1754.53099430, 203.40064768,2079.40316156, 280.45889802 ,
