log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 10.08905348, 0.11666631,10.18234090, 0.09075275,10.17653774, 0.06052755 ,,-0.39794 , 798.94142590, 139.77745613,273.98767962, 33.56695272,27.94360206, 0.35304109 ,
-0.69897 , 5.05772948, 0.05343723,5.15435944, 0.03004104,5.20252562, 0.02241072 ,,-0.09691 , 436.37226952, 28.55201291,123.82429652, 8.13026834,14.00967885, 0.16968177 ,
-0.39794 , 2.62790596, 0.01850351,2.64977105, 0.01139888,2.75547689, 0.00988186 ,,0.0791812 , 287.58624237, 32.97681705,84.41675128, 3.11731011,9.52960908, 0.09286125 ,
-0.221849 , 1.82993485, 0.00546491,1.86877719, 0.00630877,1.96572210, 0.00334932 ,,0.20412 , 202.40798894, 16.51767671,61.98578547, 2.50359710,7.26965517, 0.06616256 ,
-0.09691 , 1.46602082, 0.00704655,1.49427046, 0.00370448,1.60295031, 0.00305979 ,,0.30103 , 151.11121545, 11.16201607,50.14589981, 1.78659215,5.92071304, 0.03523203 ,
0 , 1.27300938, 0.00300401,1.30584569, 0.00389232,1.40265871, 0.00157616 ,,0.60206 , 106.62120385, 7.03972783,26.01678190, 0.49239544,3.38952430, 0.01419796 ,
0.0791812 , 1.15859460, 0.00519097,1.18639004, 0.00353741,1.28861040, 0.00188602 ,,1 , 39.62287434, 1.19410957,10.97863553, 0.17815499,2.11907283, 0.00613210 ,
0.146128 , 1.09074523, 0.00346536,1.12366782, 0.00303211,1.21991678, 0.00120438 ,,1.30103 , 21.02099329, 0.77064820,6.58267048, 0.09051074,1.97599878, 0.00635963 ,
0.20412 , 1.04663354, 0.00224286,1.07354381, 0.00191969,1.18043048, 0.00123955 ,,1.60206 , 13.05006328, 0.20923959,5.32081240, 0.05153018,1.97119927, 0.00638589 ,
0.255273 , 1.03118941, 0.00356869,1.05515614, 0.00254927,1.15950195, 0.00122648 ,,1.69897 , 11.68860674, 0.26629420,5.16604150, 0.04170247,1.95956213, 0.00494059 ,
0.30103 , 1.01917634, 0.00380262,1.04937736, 0.00221238,1.14968070, 0.00152488 ,,2 , 9.92458330, 0.17923497,5.05732273, 0.04956392,1.95809830, 0.00651058 ,
0.60206 , 1.29372708, 0.00736296,1.28086791, 0.00524920,1.32524961, 0.00242702 ,,2.30103 , 9.75526732, 0.20927723,5.10316572, 0.04317103,1.96949405, 0.00661570 ,
1 , 2.55659768, 0.02619662,2.46019768, 0.02199375,1.82754891, 0.00556086 ,,2.47712 , 10.02999198, 0.24528156,5.04568502, 0.05080753,1.97235340, 0.00667792 ,
1.30103 , 4.73361608, 0.07800102,3.92548643, 0.03599689,1.95469646, 0.00602237 ,,3 , 9.92287323, 0.23300018,5.12913559, 0.04697038,1.96622324, 0.00714875 ,
1.60206 , 7.67032148, 0.14610228,4.91797658, 0.04946881,1.96279761, 0.00721437 ,,4 , 9.56773912, 0.16745579,5.10191203, 0.05044532,1.95239521, 0.00581321 ,
1.69897 , 8.34302195, 0.16046302,5.00046675, 0.05603282,1.96626859, 0.00496078 ,,
2 , 9.96251801, 0.22421326,5.13485650, 0.03958599,1.97068026, 0.00664596 ,,
2.30103 , 9.75996860, 0.27034725,5.21018232, 0.04875723,1.96569802, 0.00538881 ,,
2.47712 , 10.44393714, 0.21097844,5.03598613, 0.04964708,1.96733109, 0.00601284 ,,
3 , 10.17685038, 0.27943240,5.01493685, 0.05371537,1.97756621, 0.00692166 ,,
4 , 10.06083480, 0.21012898,5.15865678, 0.04782871,1.97422899, 0.00831496 ,,
