log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 9.86732338, 0.09741155,9.97302318, 0.09841996,10.20971628, 0.04772443 ,,-0.39794 , 643.25669575, 77.07118173,226.74937992, 13.43449020,27.61519238, 0.30809637 ,
-0.69897 , 5.09805768, 0.04378286,5.14004442, 0.02418821,5.18311085, 0.01652513 ,,-0.09691 , 404.80525365, 42.16728686,123.19655560, 7.06522698,14.12733339, 0.17240550 ,
-0.39794 , 2.64307382, 0.01247588,2.63874315, 0.01068713,2.75824046, 0.00748332 ,,0.0791812 , 239.85491561, 18.47568851,86.13734485, 4.38702485,9.32042003, 0.08863432 ,
-0.221849 , 1.84459196, 0.00855112,1.86850977, 0.00754293,1.97188861, 0.00376240 ,,0.20412 , 221.84118251, 24.51528870,62.42677558, 2.81844460,7.24689624, 0.03163618 ,
-0.09691 , 1.47509193, 0.00589723,1.50038274, 0.00480542,1.60569168, 0.00232898 ,,0.30103 , 169.87475388, 10.78283845,47.69998173, 1.67057405,5.93895436, 0.04155570 ,
0 , 1.27731236, 0.00451118,1.30467625, 0.00426071,1.40290424, 0.00207577 ,,0.60206 , 100.97864968, 4.82010180,24.69986995, 0.47511987,3.31492717, 0.01931815 ,
0.0791812 , 1.16494193, 0.00438480,1.18136746, 0.00275757,1.28797287, 0.00143128 ,,1 , 37.01080219, 1.35249586,11.15736567, 0.16034262,2.13871577, 0.01000418 ,
0.146128 , 1.08724953, 0.00267368,1.11234038, 0.00228582,1.22289871, 0.00224545 ,,1.30103 , 20.93063345, 0.82997925,6.66813031, 0.08433442,1.97666976, 0.00569618 ,
0.20412 , 1.04640375, 0.00278383,1.07856622, 0.00257889,1.18067280, 0.00124917 ,,1.60206 , 12.66769378, 0.32563382,5.29350121, 0.05354800,1.97531078, 0.00660746 ,
0.255273 , 1.03254378, 0.00326827,1.05215267, 0.00184313,1.15959198, 0.00130294 ,,1.69897 , 11.41034687, 0.18545504,5.20740433, 0.04321939,1.96059086, 0.00742076 ,
0.30103 , 1.02568253, 0.00245102,1.04895741, 0.00260027,1.15126061, 0.00128782 ,,2 , 10.05949498, 0.25832917,5.17393257, 0.06325481,1.96679636, 0.00439173 ,
0.60206 , 1.26844415, 0.00652965,1.30118199, 0.00744964,1.32439003, 0.00284833 ,,2.30103 , 10.53119223, 0.16467273,5.05392253, 0.05967048,1.95818710, 0.00645383 ,
1 , 2.60353436, 0.02529458,2.44537272, 0.02558901,1.83766430, 0.00440258 ,,2.47712 , 9.83273703, 0.20294771,5.05733473, 0.04080871,1.95964403, 0.00816805 ,
1.30103 , 4.64953690, 0.05343261,3.90518215, 0.04019007,1.95810578, 0.00636461 ,,3 , 10.09974886, 0.21433398,5.05453937, 0.05595057,1.96115482, 0.00439880 ,
1.60206 , 7.67539938, 0.15129694,4.94248996, 0.07340324,1.96204776, 0.00757392 ,,4 , 10.04953363, 0.15769574,5.10230622, 0.05305686,1.96118965, 0.00478353 ,
1.69897 , 8.56152781, 0.16050777,4.98426616, 0.05199668,1.96368546, 0.00600484 ,,
2 , 9.69364657, 0.20047690,5.11737854, 0.05429324,1.96236725, 0.00595327 ,,
2.30103 , 10.08603254, 0.20797254,5.05409509, 0.06678732,1.96810434, 0.00516457 ,,
2.47712 , 10.01764791, 0.25145378,5.12922916, 0.03858621,1.95431222, 0.00597955 ,,
3 , 9.82646588, 0.17092728,5.17951643, 0.05354444,1.96132098, 0.00631725 ,,
4 , 9.99268181, 0.31430376,5.15764875, 0.05305190,1.96552875, 0.00697388 ,,
