log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 9.98561695, 0.12705284,10.06344005, 0.09827767,10.25788797, 0.05663740 ,,-1 , 10.13213402, 0.10676088,10.02440374, 0.06970460,10.19625108, 0.03805569 ,
-0.69897 , 5.04500028, 0.04729478,5.16602156, 0.02923088,5.22912442, 0.01710587 ,,-0.69897 , 5.06315479, 0.04084771,5.09459940, 0.02533690,5.23276665, 0.02687126 ,
-0.39794 , 2.63579568, 0.01787911,2.63454672, 0.01060238,2.74685373, 0.00699910 ,,-0.39794 , 2.62543134, 0.01248864,2.62528620, 0.01187361,2.74521666, 0.00523968 ,
-0.221849 , 1.84679927, 0.00788154,1.87287603, 0.00703744,1.96297568, 0.00386410 ,,-0.221849 , 1.83737062, 0.00944837,1.85743620, 0.00511069,1.96205711, 0.00369559 ,
-0.09691 , 1.49448398, 0.00801510,1.49407384, 0.00367185,1.59160093, 0.00182381 ,,-0.09691 , 1.49385246, 0.01096631,1.49699622, 0.00404402,1.59545657, 0.00277866 ,
0 , 1.27598580, 0.00536819,1.30060597, 0.00296942,1.39253053, 0.00191784 ,,0 , 1.26956070, 0.00403495,1.30094461, 0.00381126,1.39191069, 0.00168400 ,
0.0791812 , 1.15578281, 0.00341375,1.18334754, 0.00320190,1.27257174, 0.00122426 ,,0.0791812 , 1.15548218, 0.00421945,1.19354142, 0.00347180,1.27473444, 0.00149331 ,
0.146128 , 1.09304694, 0.00401766,1.11235682, 0.00212149,1.20194510, 0.00138551 ,,0.146128 , 1.09748236, 0.00446144,1.11850330, 0.00229089,1.20341914, 0.00169574 ,
0.20412 , 1.05314324, 0.00403208,1.07281138, 0.00247185,1.15971123, 0.00152771 ,,0.20412 , 1.05528751, 0.00365795,1.06769163, 0.00236720,1.16057827, 0.00125331 ,
0.255273 , 1.03248889, 0.00238694,1.05256725, 0.00243995,1.13860864, 0.00142679 ,,0.255273 , 1.02747932, 0.00202189,1.05349141, 0.00184057,1.13902059, 0.00134582 ,
0.30103 , 1.02975292, 0.00360550,1.04813184, 0.00290437,1.12820683, 0.00117760 ,,0.30103 , 1.02143990, 0.00293846,1.04832777, 0.00367399,1.12906149, 0.00193384 ,
0.60206 , 1.27282875, 0.00645507,1.29705641, 0.00557978,1.28109192, 0.00199326 ,,0.60206 , 1.27342055, 0.00745477,1.28237327, 0.00649953,1.28647631, 0.00261340 ,
1 , 2.58078819, 0.02043260,2.45560807, 0.01583631,1.75636574, 0.00529913 ,,1 , 2.60341685, 0.02531197,2.47359309, 0.01784439,1.75630031, 0.00458790 ,
1.30103 , 4.75650854, 0.06194237,3.99028425, 0.05381519,1.87716908, 0.00621692 ,,1.30103 , 4.66781993, 0.05259264,3.88761295, 0.03725005,1.87887884, 0.00486419 ,
1.60206 , 7.47381744, 0.10059147,4.84497669, 0.04144799,1.87457603, 0.00585349 ,,1.60206 , 7.68789870, 0.17794218,4.80716774, 0.06305048,1.89272460, 0.00636036 ,
1.69897 , 8.34741405, 0.13753797,5.01885535, 0.05134529,1.89645307, 0.00621229 ,,1.69897 , 8.54623444, 0.17461257,4.99647794, 0.04006776,1.89455878, 0.00516596 ,
2 , 9.95209185, 0.30032932,5.13371084, 0.04251640,1.87570406, 0.00616251 ,,2 , 9.77477554, 0.18500706,5.14720151, 0.04553006,1.88935089, 0.00537894 ,
2.30103 , 10.34039259, 0.18815895,5.01098181, 0.07819193,1.89455564, 0.00782366 ,,2.30103 , 10.30672503, 0.21101798,5.07808909, 0.07337056,1.89545914, 0.00694292 ,
2.47712 , 10.30538943, 0.22084522,5.10111203, 0.06186354,1.88349358, 0.00608545 ,,2.47712 , 10.32726081, 0.22925046,5.17921210, 0.07768511,1.86457110, 0.00706879 ,
3 , 9.92218070, 0.21395657,5.09957870, 0.07260186,1.91543996, 0.00759772 ,,3 , 9.84786747, 0.22429030,5.09105839, 0.05133695,1.88388257, 0.00667598 ,
4 , 9.89024703, 0.24062885,5.10871120, 0.05327346,1.89733950, 0.00623914 ,,4 , 9.52994826, 0.20677167,5.11125998, 0.05329213,1.88540245, 0.00511914 ,
