log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 10.73916669, 0.41035061,10.07517078, 0.07078533,10.24042407, 0.04161843 ,
-0.69897 , 5.03171016, 0.07783285,5.05311170, 0.02591026,5.16666305, 0.01226631 ,
-0.39794 , 2.61412014, 0.04086557,2.64381243, 0.00936205,2.72792928, 0.00487342 ,
-0.221849 , 1.81147594, 0.02322670,1.85096729, 0.00410895,1.95677370, 0.00246829 ,
-0.09691 , 1.49476119, 0.02529823,1.49750768, 0.00370852,1.58989802, 0.00243885 ,
0 , 1.23683186, 0.01538284,1.28584340, 0.00229467,1.39544397, 0.00181110 ,
0.0791812 , 1.12313596, 0.01546194,1.18174335, 0.00220289,1.27728886, 0.00122428 ,
0.146128 , 1.08177150, 0.01964956,1.10977846, 0.00160021,1.21038044, 0.00141284 ,
0.20412 , 1.05405431, 0.00552611,1.07263611, 0.00157418,1.17374149, 0.00114476 ,
0.255273 , 1.01924241, 0.00943170,1.05668397, 0.00177714,1.15692938, 0.00152423 ,
0.30103 , 0.98893712, 0.01750629,1.04680975, 0.00173844,1.14991804, 0.00095366 ,
0.60206 , 1.22930538, 0.03715632,1.30450615, 0.00450102,1.47960105, 0.00258440 ,
1 , 2.65449324, 0.02881388,2.81407158, 0.02372031,3.84680635, 0.01468496 ,
1.30103 , 5.09151405, 0.17734417,6.27325909, 0.05359884,9.09344938, 0.03668488 ,
1.60206 , 12.64142595, 0.22637890,16.21109675, 0.18474836,19.32648728, 0.10032551 ,
1.69897 , 16.95734387, 0.36983313,21.91341230, 0.28564365,24.62723096, 0.14497349 ,
2 , 45.40882211, 1.07323854,47.59887341, 0.72626065,50.63117376, 0.60225504 ,
2.30103 , 93.62056355, 6.03966413,98.81899415, 2.38599488,100.90291188, 1.49722749 ,
2.47712 , 151.02421327, 8.76728791,145.38383232, 3.88969316,153.51570448, 2.95906245 ,
3 , 414.29113844, 14.42566058,466.05097756, 15.33382780,467.87239383, 13.62454160 ,
4 , 2731.89427061, 202.67791999,4005.58443023, 334.72443986,4164.29119936, 330.87077245 ,
