log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 7.52574596, 0.17472346,7.72626010, 0.09082371,7.67157961, 0.02768755 ,
-0.69897 , 3.61167110, 0.08658900,3.80429154, 0.02914696,3.93598846, 0.01581410 ,
-0.39794 , 1.93597084, 0.06427965,1.97413811, 0.01014012,2.05983342, 0.00490852 ,
-0.221849 , 1.29769088, 0.02326692,1.34277183, 0.00552167,1.44294749, 0.00249841 ,
-0.09691 , 1.07106604, 0.03536585,1.03083354, 0.00208406,1.13509479, 0.00183820 ,
0 , 0.82727197, 0.00342227,0.85797704, 0.00258976,0.95860577, 0.00117796 ,
0.0791812 , 0.72136467, 0.00500448,0.74320422, 0.00222455,0.84494797, 0.00101488 ,
0.146128 , 0.66646354, 0.01209860,0.66395821, 0.00163691,0.76614972, 0.00072916 ,
0.20412 , 0.57638929, 0.02390680,0.61047852, 0.00192775,0.71177951, 0.00073392 ,
0.255273 , 0.49956107, 0.03839139,0.56678474, 0.00141882,0.67038714, 0.00071669 ,
0.30103 , 0.51911671, 0.00669684,0.53890675, 0.00122680,0.64099279, 0.00120276 ,
0.60206 , 0.41982949, 0.01116611,0.46615587, 0.00101832,0.58249703, 0.00056626 ,
1 , 0.65739296, 0.04250364,0.72493635, 0.00231182,0.94453062, 0.00169963 ,
1.30103 , 1.24806601, 0.09053248,1.46892320, 0.00829862,1.66280855, 0.00385925 ,
1.60206 , 2.94315211, 0.12468884,3.29363137, 0.02268130,2.62920698, 0.00589626 ,
1.69897 , 3.69804293, 0.05393878,4.08152293, 0.02605776,2.96835388, 0.00906072 ,
2 , 8.59848230, 0.25648985,6.93514852, 0.04434307,4.31648340, 0.01621501 ,
2.30103 , 13.55881365, 0.62455054,10.49310850, 0.06939453,6.18006959, 0.03547577 ,
2.47712 , 17.63730834, 0.27099970,13.02159033, 0.14878763,7.44256653, 0.02822233 ,
3 , 34.09276047, 0.96096601,23.82637210, 0.32557589,13.75712741, 0.07150829 ,
4 , 105.51155331, 3.81430631,78.49240276, 3.09257385,43.33900147, 0.52300476 ,
