log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 7.39761313, 0.07830058,7.38395429, 0.04297755,7.39144928, 0.02012705 ,
-0.69897 , 3.75572018, 0.02374211,3.74892439, 0.01512845,3.79339601, 0.00849221 ,
-0.39794 , 1.92904295, 0.01107066,1.91227193, 0.00526962,1.98637209, 0.00387274 ,
-0.221849 , 1.31166770, 0.00595143,1.30897738, 0.00232375,1.39277260, 0.00150258 ,
-0.09691 , 1.00719332, 0.00421634,1.01365342, 0.00136092,1.10214315, 0.00119106 ,
0 , 0.83645868, 0.00408856,0.83660779, 0.00129864,0.93440345, 0.00071142 ,
0.0791812 , 0.72022236, 0.00185263,0.72709711, 0.00097158,0.82526421, 0.00073178 ,
0.146128 , 0.63942814, 0.00182184,0.65478560, 0.00067144,0.74520601, 0.00056377 ,
0.20412 , 0.58488062, 0.00166195,0.60235451, 0.00064359,0.69655399, 0.00056474 ,
0.255273 , 0.54233071, 0.00183928,0.56524095, 0.00064147,0.66057388, 0.00047494 ,
0.30103 , 0.51317337, 0.00123097,0.53399917, 0.00050604,0.63207211, 0.00040591 ,
0.60206 , 0.44126973, 0.00155354,0.44887582, 0.00043476,0.55534815, 0.00033739 ,
1 , 0.65725270, 0.00245400,0.64363336, 0.00145618,0.74087939, 0.00071466 ,
1.30103 , 1.18447767, 0.00948434,1.10633283, 0.00465512,1.20023474, 0.00237612 ,
1.60206 , 2.31367850, 0.03697912,2.10483950, 0.01108127,2.19840503, 0.00777173 ,
1.69897 , 2.81180379, 0.03991522,2.62340181, 0.01595952,2.74264128, 0.00587968 ,
2 , 5.45698486, 0.10781055,5.06010688, 0.04302553,5.23881326, 0.03457857 ,
2.30103 , 11.21495239, 0.30686805,10.46074107, 0.15372978,10.41649171, 0.08959383 ,
2.47712 , 16.02952055, 0.39785870,15.19118126, 0.24161868,15.84920821, 0.12433543 ,
3 , 52.08797314, 2.71376694,46.95085392, 1.77229703,51.08253679, 0.65029755 ,
4 , 510.78350534, 45.72947778,473.40027487, 46.11267540,468.17336482, 23.11056617 ,
