log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 2.54207642, 0.02639712,2.54763620, 0.02268609,2.65874324, 0.01306449 ,,-0.39794 , 592.51730695, 41.95818648,182.87569722, 8.27605064,15.29707157, 0.11528359 ,
-0.69897 , 1.30223594, 0.00936880,1.34045760, 0.00848705,1.41279957, 0.00316972 ,,-0.09691 , 359.12132265, 21.21204210,83.99210775, 2.27019738,7.91265846, 0.03884166 ,
-0.39794 , 0.71501035, 0.00248399,0.74095374, 0.00166822,0.83054867, 0.00171244 ,,0.0791812 , 213.34790982, 13.69748069,54.16826000, 0.77056207,5.31771214, 0.02309630 ,
-0.221849 , 0.54717053, 0.00209092,0.56618609, 0.00142068,0.65102786, 0.00092426 ,,0.20412 , 162.34772882, 5.68657637,42.73513807, 0.95307306,4.06509638, 0.01327835 ,
-0.09691 , 0.47106173, 0.00196344,0.49818301, 0.00124243,0.57651186, 0.00071212 ,,0.30103 , 136.84329661, 6.53175970,32.66926678, 0.43601269,3.33575002, 0.01181852 ,
0 , 0.44455995, 0.00184831,0.46651522, 0.00104131,0.54319945, 0.00063584 ,,0.60206 , 69.40213688, 2.09945025,16.95306417, 0.19465269,1.88271773, 0.00414067 ,
0.0791812 , 0.43586433, 0.00204364,0.45893456, 0.00099238,0.52738398, 0.00046040 ,,1 , 26.46310697, 0.53585100,7.21337677, 0.04806569,1.20284193, 0.00209014 ,
0.146128 , 0.43836153, 0.00167800,0.46027346, 0.00073986,0.52580596, 0.00037135 ,,1.30103 , 14.80600101, 0.25271327,4.35931058, 0.02509090,1.11498888, 0.00150103 ,
0.20412 , 0.45158638, 0.00137027,0.47184861, 0.00111279,0.53136189, 0.00046428 ,,1.60206 , 8.76347171, 0.09967601,3.48142909, 0.01889015,1.10493030, 0.00185555 ,
0.255273 , 0.46479395, 0.00209106,0.48704680, 0.00084012,0.53955200, 0.00049231 ,,1.69897 , 7.92182721, 0.06519628,3.42759547, 0.01682105,1.10666052, 0.00159710 ,
0.30103 , 0.48415096, 0.00292338,0.50621668, 0.00117111,0.55220517, 0.00050268 ,,2 , 6.91316490, 0.06144293,3.39019223, 0.01804917,1.10711216, 0.00160334 ,
0.60206 , 0.76167893, 0.00346914,0.76888008, 0.00193596,0.71684922, 0.00079714 ,,2.30103 , 6.76898326, 0.08770966,3.37913154, 0.01373128,1.10921722, 0.00180652 ,
1 , 1.70968800, 0.00833196,1.61318811, 0.00495768,1.02623061, 0.00127821 ,,2.47712 , 6.77957579, 0.08244902,3.42390144, 0.02186453,1.10988085, 0.00130285 ,
1.30103 , 3.10429463, 0.01849311,2.58883393, 0.01320289,1.10632119, 0.00229615 ,,3 , 6.70658676, 0.08648214,3.34499158, 0.01496026,1.10853768, 0.00148370 ,
1.60206 , 5.11350352, 0.04835233,3.28153720, 0.02216897,1.10652679, 0.00199882 ,,4 , 6.82262690, 0.06244053,3.35999851, 0.01881467,1.10994020, 0.00138985 ,
1.69897 , 5.79714757, 0.05631630,3.33027716, 0.01829420,1.10825472, 0.00164875 ,,
2 , 6.61295151, 0.05368570,3.35146748, 0.02710253,1.11006706, 0.00155784 ,,
2.30103 , 6.75989850, 0.10746297,3.34165930, 0.01518301,1.10898037, 0.00190537 ,,
2.47712 , 6.75340906, 0.06943732,3.38312629, 0.02386597,1.10836155, 0.00163039 ,,
3 , 6.67208073, 0.06735507,3.35956007, 0.01761385,1.11003567, 0.00193267 ,,
4 , 6.82777119, 0.08826214,3.37607684, 0.01882809,1.10893647, 0.00175226 ,,
