log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 2.51894659, 0.01911983,2.15307347, 0.00685301,2.20220096, 0.00408020 ,
-0.69897 , 1.31119987, 0.01352747,1.14584487, 0.00300094,1.20277521, 0.00121529 ,
-0.39794 , 0.71694873, 0.00348206,0.63620752, 0.00084015,0.73836651, 0.00066648 ,
-0.221849 , 0.54605065, 0.00323674,0.43454237, 0.00022860,0.59846415, 0.00038677 ,
-0.09691 , 0.47097028, 0.00193740,0.43724247, 0.00024057,0.56020835, 0.00036082 ,
0 , 0.44187021, 0.00139265,0.44941814, 0.00034177,0.54452852, 0.00031241 ,
0.0791812 , 0.43543361, 0.00210207,0.46021373, 0.00020498,0.54208208, 0.00027916 ,
0.146128 , 0.43693043, 0.00175231,0.47332737, 0.00032840,0.54831926, 0.00032473 ,
0.20412 , 0.45115017, 0.00148952,0.48763682, 0.00029183,0.56013807, 0.00031545 ,
0.255273 , 0.46599232, 0.00172049,0.50359461, 0.00022086,0.57393841, 0.00027647 ,
0.30103 , 0.49012919, 0.00181375,0.52358491, 0.00031599,0.59191438, 0.00031208 ,
0.60206 , 0.77617165, 0.00293563,0.74844871, 0.00061186,0.80773026, 0.00043484 ,
1 , 1.72148981, 0.00692304,1.63676359, 0.00272873,1.68126231, 0.00166167 ,
1.30103 , 3.39458081, 0.03474138,3.18773504, 0.00980920,3.19047090, 0.00352792 ,
1.60206 , 6.82501757, 0.05272855,6.31851264, 0.02144129,6.30729188, 0.01215439 ,
1.69897 , 8.72589035, 0.14328535,7.85514551, 0.03822700,7.87179483, 0.01392914 ,
2 , 16.80595870, 0.36272945,15.60581647, 0.08251101,15.75697800, 0.05496612 ,
2.30103 , 32.90436614, 0.71234519,31.95760313, 0.35038401,31.86046578, 0.16088470 ,
2.47712 , 49.45521593, 0.77029542,46.25533954, 0.56798750,47.51747081, 0.13968541 ,
3 , 154.82026148, 4.13093134,153.62075100, 3.04787190,159.11913799, 1.49238020 ,
4 , 1171.35449734, 80.48942445,1507.66298387, 88.68713666,1546.43011635, 54.43893804 ,
