log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 2.54324046, 0.03470225,2.55077520, 0.02044408,2.65130737, 0.01106012 ,,-1 , 2.52063199, 0.03092144,2.50330006, 0.01132950,2.62110111, 0.00726269 ,
-0.69897 , 1.32341766, 0.00967003,1.33410699, 0.00649281,1.41239120, 0.00388803 ,,-0.69897 , 1.31188831, 0.01079126,1.32694672, 0.00573845,1.42373276, 0.00471577 ,
-0.39794 , 0.71826662, 0.00408624,0.74029929, 0.00155940,0.83011992, 0.00156238 ,,-0.39794 , 0.71897756, 0.00303672,0.74148674, 0.00243130,0.82786820, 0.00170302 ,
-0.221849 , 0.53986527, 0.00221161,0.56531903, 0.00165410,0.65048944, 0.00092666 ,,-0.221849 , 0.54320864, 0.00171622,0.56805850, 0.00108983,0.65053967, 0.00093870 ,
-0.09691 , 0.47007286, 0.00183521,0.49425271, 0.00097367,0.57587208, 0.00073078 ,,-0.09691 , 0.46906683, 0.00239814,0.49734863, 0.00106899,0.57658292, 0.00046397 ,
0 , 0.44088284, 0.00176228,0.46524119, 0.00071025,0.54218332, 0.00069194 ,,0 , 0.44463134, 0.00123049,0.46567784, 0.00081042,0.54181177, 0.00060864 ,
0.0791812 , 0.43589223, 0.00133423,0.46007513, 0.00099601,0.52787645, 0.00047446 ,,0.0791812 , 0.43237955, 0.00107223,0.45809660, 0.00115958,0.52874715, 0.00051538 ,
0.146128 , 0.43965785, 0.00138004,0.46043246, 0.00079195,0.52485926, 0.00043893 ,,0.146128 , 0.43900329, 0.00152278,0.45967680, 0.00073581,0.52500431, 0.00048920 ,
0.20412 , 0.45153519, 0.00194259,0.47042748, 0.00113487,0.53035796, 0.00046342 ,,0.20412 , 0.45127742, 0.00142488,0.47285116, 0.00103117,0.53041777, 0.00050110 ,
0.255273 , 0.46481583, 0.00121042,0.48896646, 0.00074584,0.53934254, 0.00057118 ,,0.255273 , 0.46230763, 0.00170438,0.48687964, 0.00077628,0.53985025, 0.00047471 ,
0.30103 , 0.47959460, 0.00242997,0.50539328, 0.00090334,0.55114381, 0.00048586 ,,0.30103 , 0.48506888, 0.00121920,0.50736464, 0.00108553,0.55142819, 0.00055960 ,
0.60206 , 0.76178047, 0.00184362,0.76593593, 0.00131177,0.71885223, 0.00076289 ,,0.60206 , 0.76006919, 0.00338758,0.77004065, 0.00168588,0.71695881, 0.00077194 ,
1 , 1.72418909, 0.01222868,1.60367340, 0.00584852,1.02569025, 0.00147531 ,,1 , 1.71558297, 0.01168727,1.60207783, 0.00632757,1.02178531, 0.00107914 ,
1.30103 , 3.12343143, 0.02042022,2.59315569, 0.01143337,1.10458213, 0.00164144 ,,1.30103 , 3.13999355, 0.01926501,2.58961794, 0.01525290,1.10498756, 0.00176852 ,
1.60206 , 5.12237180, 0.03248368,3.26701477, 0.01170418,1.11081240, 0.00194344 ,,1.60206 , 5.10878253, 0.03641387,3.24565667, 0.01658258,1.10963081, 0.00221104 ,
1.69897 , 5.66362837, 0.06066119,3.34093590, 0.01244663,1.10858314, 0.00181154 ,,1.69897 , 5.78691600, 0.04943191,3.33112139, 0.01371362,1.10825452, 0.00203629 ,
2 , 6.60844652, 0.05014607,3.37580759, 0.02238664,1.10890611, 0.00151512 ,,2 , 6.66275079, 0.08281468,3.39770401, 0.02822116,1.11183290, 0.00212679 ,
2.30103 , 6.72054518, 0.05019497,3.38142615, 0.02026330,1.10971666, 0.00133565 ,,2.30103 , 6.75703048, 0.05479719,3.36483904, 0.01281753,1.10646213, 0.00144541 ,
2.47712 , 6.72449840, 0.05870043,3.38423621, 0.01856919,1.10835861, 0.00113706 ,,2.47712 , 6.75259190, 0.10723825,3.35555584, 0.01787515,1.11049921, 0.00165659 ,
3 , 6.89429774, 0.08783457,3.38013953, 0.02007766,1.11056171, 0.00169686 ,,3 , 6.65112855, 0.05232568,3.34332972, 0.02000629,1.11127659, 0.00126716 ,
4 , 6.70960901, 0.05804375,3.36383287, 0.01968146,1.10535725, 0.00126948 ,,4 , 6.81919252, 0.10193184,3.37118230, 0.02217318,1.10760753, 0.00177054 ,
