log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 7.51981850, 0.07619048,7.54181819, 0.06371956,7.71207547, 0.02927283 ,,-0.39794 , 189.81993410, 15.71924964,58.08116698, 2.40245348,7.84950016, 0.06236630 ,
-0.69897 , 3.79642541, 0.01991082,3.80769893, 0.01329444,3.96579736, 0.02014811 ,,-0.09691 , 100.22041148, 5.71268586,28.39453050, 0.78825495,3.97034057, 0.02322986 ,
-0.39794 , 1.92326187, 0.01047916,1.96363941, 0.00905947,2.06816703, 0.00432105 ,,0.0791812 , 72.37312340, 5.83719220,18.53843501, 0.51632388,2.73862117, 0.01295183 ,
-0.221849 , 1.30395734, 0.00498594,1.33672860, 0.00515969,1.45413614, 0.00275656 ,,0.20412 , 65.69031474, 3.72340819,14.65779625, 0.35348632,2.10044582, 0.00750655 ,
-0.09691 , 0.99757093, 0.00385981,1.03302613, 0.00315927,1.14617850, 0.00155182 ,,0.30103 , 43.89254729, 1.73288126,11.26613214, 0.18796253,1.73779678, 0.00520383 ,
0 , 0.83359405, 0.00284646,0.85761754, 0.00157856,0.97403879, 0.00099671 ,,0.60206 , 24.01039182, 1.00122088,5.71853725, 0.08320903,1.05166316, 0.00226628 ,
0.0791812 , 0.72060882, 0.00207723,0.74354689, 0.00153586,0.86379006, 0.00092611 ,,1 , 9.76144017, 0.19417464,2.55919242, 0.02008174,0.74709424, 0.00156431 ,
0.146128 , 0.64169258, 0.00146205,0.66666079, 0.00129279,0.78600268, 0.00074604 ,,1.30103 , 4.89117470, 0.07871597,1.58672628, 0.00900443,0.71401478, 0.00102907 ,
0.20412 , 0.58180286, 0.00111012,0.61194891, 0.00098229,0.73342250, 0.00065629 ,,1.60206 , 3.00381021, 0.04200429,1.27262185, 0.00646967,0.71378500, 0.00109959 ,
0.255273 , 0.54347165, 0.00131978,0.57106533, 0.00101887,0.69442620, 0.00063900 ,,1.69897 , 2.64820872, 0.04171641,1.25326327, 0.00767779,0.71237186, 0.00073053 ,
0.30103 , 0.51293559, 0.00111597,0.54353344, 0.00103232,0.66481449, 0.00064791 ,,2 , 2.40020614, 0.03609145,1.23999503, 0.00682352,0.71574034, 0.00132465 ,
0.60206 , 0.43826046, 0.00104028,0.46864186, 0.00123346,0.59922705, 0.00061049 ,,2.30103 , 2.32610581, 0.02253556,1.23982162, 0.00453722,0.71455821, 0.00122696 ,
1 , 0.65601999, 0.00314273,0.66653891, 0.00232362,0.68026550, 0.00078522 ,,2.47712 , 2.24821065, 0.02834545,1.23685475, 0.00626622,0.71236389, 0.00114247 ,
1.30103 , 1.11128017, 0.00822158,0.98217700, 0.00545869,0.71056321, 0.00096878 ,,3 , 2.39182141, 0.02404948,1.23929977, 0.00586429,0.71369181, 0.00098227 ,
1.60206 , 1.75430925, 0.02054832,1.20656075, 0.00697996,0.71074734, 0.00117334 ,,4 , 2.33450489, 0.02791936,1.24019603, 0.00888152,0.71509541, 0.00116681 ,
1.69897 , 1.95526315, 0.02332723,1.23140373, 0.00743271,0.71018406, 0.00084693 ,,
2 , 2.33257567, 0.03516075,1.24400496, 0.00893468,0.71211541, 0.00073490 ,,
2.30103 , 2.30119738, 0.02825990,1.23577384, 0.00858980,0.71200171, 0.00113945 ,,
2.47712 , 2.24864299, 0.03156486,1.23856772, 0.00703031,0.71218429, 0.00086724 ,,
3 , 2.31774281, 0.03266782,1.25469161, 0.01002554,0.71192027, 0.00112836 ,,
4 , 2.30709859, 0.02767964,1.23568718, 0.00743064,0.71300172, 0.00126733 ,,
