log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 7.68961284, 0.10572994,7.46489902, 0.05153108,7.68728004, 0.03548938 ,
-0.69897 , 3.74170312, 0.02414321,3.79747359, 0.02143417,3.94111867, 0.00744694 ,
-0.39794 , 1.91831647, 0.01001169,1.94009414, 0.00549340,2.05575947, 0.00291361 ,
-0.221849 , 1.29528107, 0.00537737,1.33206291, 0.00300257,1.43998916, 0.00203267 ,
-0.09691 , 1.01067317, 0.00285278,1.02827864, 0.00262491,1.13905232, 0.00149471 ,
0 , 0.82628694, 0.00224733,0.85594518, 0.00156202,0.96313154, 0.00090668 ,
0.0791812 , 0.72072260, 0.00230277,0.74102392, 0.00092733,0.85232130, 0.00098089 ,
0.146128 , 0.64073060, 0.00189017,0.66282340, 0.00097049,0.77699853, 0.00068857 ,
0.20412 , 0.58510694, 0.00079161,0.60993365, 0.00067859,0.72365836, 0.00068761 ,
0.255273 , 0.54007683, 0.00172576,0.57068996, 0.00069440,0.68713948, 0.00048549 ,
0.30103 , 0.51649155, 0.00126381,0.54269645, 0.00050666,0.65835751, 0.00046342 ,
0.60206 , 0.43863442, 0.00119853,0.46605406, 0.00065017,0.61312553, 0.00048143 ,
1 , 0.67009960, 0.00495540,0.72340816, 0.00244093,1.01621856, 0.00113508 ,
1.30103 , 1.26062447, 0.00995147,1.45625551, 0.00568258,1.80172112, 0.00261641 ,
1.60206 , 2.73395178, 0.03234832,3.25032602, 0.01280762,2.79678632, 0.00700596 ,
1.69897 , 3.62450877, 0.04539327,4.09446034, 0.02217040,3.18038214, 0.00535714 ,
2 , 8.17477190, 0.06418308,7.00239315, 0.04994654,4.48212201, 0.00959798 ,
2.30103 , 13.96687938, 0.19363770,10.38494951, 0.07194482,6.29309931, 0.02403809 ,
2.47712 , 17.65564497, 0.28433463,13.05848824, 0.11120530,7.66069256, 0.02391864 ,
3 , 34.38438658, 0.83101089,23.77437823, 0.29334111,13.88681091, 0.06673682 ,
4 , 104.50036311, 3.23795825,78.77403014, 1.91831477,42.81129227, 0.38871872 ,
