log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
0.0791812 , 0.28550649, 0.05652952,2.53852405, 0.02092800,2.67727361, 0.01277055 ,
0.20412 , 0.37313649, 0.04464328,1.33787498, 0.01151811,1.44093684, 0.00360133 ,
1 , 1.49650086, 0.34966304,0.74256509, 0.00297644,0.84467552, 0.00147362 ,
1.30103 , 3.16166330, 0.24568781,0.57055286, 0.00223313,0.67127598, 0.00089915 ,
1.60206 , 5.80841571, 0.06233133,0.49711902, 0.00124391,0.60206863, 0.00062674 ,
1.69897 , 6.54062910, 0.24813882,0.46945832, 0.00155090,0.57317137, 0.00056771 ,
2 , 10.78574168, 0.14184350,0.46077266, 0.00076971,0.56606884, 0.00071203 ,
2.30103 , 14.97973584, 0.29068881,0.46881411, 0.00111193,0.56945915, 0.00053435 ,
2.47712 , 18.29641445, 0.32769057,0.47576422, 0.00158643,0.57998241, 0.00058816 ,
3 , 34.56060074, 0.93029264,0.49318674, 0.00158077,0.59706810, 0.00053132 ,
4 , 104.75190645, 3.45468515,0.51314749, 0.00086122,0.61442408, 0.00066233 ,
,0.78114924, 0.00140753,0.85647489, 0.00099142 ,
,1.69379293, 0.00647212,1.49098531, 0.00263019 ,
,3.03751655, 0.01711558,2.11545994, 0.00365157 ,
,4.72444785, 0.02072417,2.92773175, 0.00847492 ,
,5.38540232, 0.03513886,3.28383786, 0.00733598 ,
,7.64134415, 0.08810580,4.53355566, 0.01335642 ,
,10.64488892, 0.09564427,6.32763641, 0.02678447 ,
,13.38631566, 0.14511094,7.75974181, 0.04213957 ,
,23.84468276, 0.33524934,13.94415583, 0.08656989 ,
,78.88853554, 1.98808683,42.87591817, 0.38998522 ,
