log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,,log(g),0.05,0.05-error,0.1,0.1-error,0.3,0.3-error,
-1 , 7.59356402, 0.07679715,7.53537971, 0.07079949,7.54111572, 0.04638626 ,,-0.39794 , 187.13904083, 16.51145657,56.12688890, 2.92980123,6.49414605, 0.05162867 ,
-0.69897 , 3.84217227, 0.03878314,3.79389441, 0.02515743,3.83192876, 0.01214362 ,,-0.09691 , 102.13172770, 4.48005155,28.61905121, 0.68803563,3.36375982, 0.02362765 ,
-0.39794 , 1.91718715, 0.00878122,1.94872686, 0.00713314,2.01499680, 0.00409458 ,,0.0791812 , 69.63747608, 3.35792481,18.12448706, 0.38583152,2.27456948, 0.00730097 ,
-0.221849 , 1.30406962, 0.00468008,1.33274085, 0.00253066,1.41673011, 0.00292062 ,,0.20412 , 52.57210436, 3.10709486,13.78858229, 0.31589351,1.78084782, 0.00422056 ,
-0.09691 , 1.00929719, 0.00348891,1.03010106, 0.00185341,1.11924509, 0.00110525 ,,0.30103 , 43.11550933, 2.11160455,11.24749365, 0.17433520,1.48362112, 0.00559092 ,
0 , 0.82717484, 0.00232009,0.85913147, 0.00290913,0.94677751, 0.00112575 ,,0.60206 , 22.05916751, 0.80077688,5.65734570, 0.08530763,0.91487995, 0.00231297 ,
0.0791812 , 0.71978615, 0.00198068,0.74026359, 0.00136776,0.83983391, 0.00104532 ,,1 , 9.16444887, 0.23573363,2.50031339, 0.02091826,0.66906826, 0.00080763 ,
0.146128 , 0.63842568, 0.00195269,0.66411895, 0.00159378,0.76316957, 0.00086131 ,,1.30103 , 5.09236566, 0.13407825,1.54539472, 0.01018157,0.64164803, 0.00075363 ,
0.20412 , 0.58346461, 0.00174926,0.60819582, 0.00131079,0.71007280, 0.00069511 ,,1.60206 , 2.97584375, 0.02784417,1.26561517, 0.00917991,0.63931949, 0.00087280 ,
0.255273 , 0.54469632, 0.00128310,0.56938147, 0.00101060,0.67082754, 0.00061938 ,,1.69897 , 2.67603047, 0.04251062,1.22786825, 0.00709416,0.64182856, 0.00087439 ,
0.30103 , 0.51488677, 0.00131134,0.53714062, 0.00095292,0.64180701, 0.00060300 ,,2 , 2.34779613, 0.03620760,1.19844238, 0.00626178,0.64079264, 0.00076797 ,
0.60206 , 0.43749751, 0.00106492,0.46143119, 0.00100067,0.56146302, 0.00038524 ,,2.30103 , 2.24623761, 0.02692535,1.20718943, 0.00687850,0.64039005, 0.00107015 ,
1 , 0.64879981, 0.00360766,0.65132369, 0.00207091,0.61560302, 0.00075226 ,,2.47712 , 2.33967761, 0.03653648,1.19851303, 0.00469310,0.64146781, 0.00087551 ,
1.30103 , 1.11231069, 0.00851199,0.94862779, 0.00469086,0.64121956, 0.00103728 ,,3 , 2.27220589, 0.02556440,1.20912438, 0.00611793,0.64205327, 0.00091360 ,
1.60206 , 1.71391621, 0.01437043,1.16969436, 0.00607971,0.64079413, 0.00085330 ,,4 , 2.30450443, 0.03202942,1.21606900, 0.00677857,0.64140639, 0.00082051 ,
1.69897 , 1.93552140, 0.01670613,1.19717176, 0.00660940,0.64068833, 0.00096814 ,,
2 , 2.22155593, 0.02579949,1.22463403, 0.00468748,0.64017345, 0.00105915 ,,
2.30103 , 2.31126979, 0.01832552,1.22276765, 0.00737380,0.64078731, 0.00095035 ,,
2.47712 , 2.26926191, 0.02407566,1.20828292, 0.00708170,0.64057190, 0.00093193 ,,
3 , 2.25549747, 0.02342163,1.21619601, 0.00790788,0.64192802, 0.00057436 ,,
4 , 2.29278392, 0.03104846,1.20593381, 0.00580146,0.64167847, 0.00091364 ,,
