log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 7.49207965, 0.06730493,7.63946988, 0.04813202,7.69522633, 0.02774560 ,,-0.39794 , 201.84615379, 15.48276121,54.50760388, 1.98084339,6.96170081, 0.04603492 ,
-0.69897 , 3.75998162, 0.03042380,3.81410861, 0.02215177,3.93650847, 0.01186125 ,,-0.09691 , 108.67396007, 7.68398748,28.12540271, 0.69613264,3.61272358, 0.01913532 ,
-0.39794 , 1.92702966, 0.01049992,1.94798572, 0.00774053,2.06318532, 0.00433088 ,,0.0791812 , 67.83062656, 3.85776065,19.17403844, 0.33632397,2.46563171, 0.00874058 ,
-0.221849 , 1.31400135, 0.00517861,1.33121783, 0.00435281,1.44787505, 0.00283284 ,,0.20412 , 50.71495139, 2.43952699,13.61401994, 0.32904101,1.90053659, 0.00877166 ,
-0.09691 , 1.01725296, 0.00447588,1.03739951, 0.00283059,1.14274820, 0.00181847 ,,0.30103 , 48.39869070, 1.83660453,11.86379532, 0.14417593,1.58387360, 0.00393502 ,
0 , 0.83178752, 0.00249446,0.85689999, 0.00131456,0.96829988, 0.00121029 ,,0.60206 , 23.67440985, 0.82620700,5.68170338, 0.07916573,0.96966713, 0.00224231 ,
0.0791812 , 0.71399217, 0.00258912,0.74339422, 0.00154698,0.85541608, 0.00116446 ,,1 , 9.15612724, 0.19031213,2.57420127, 0.01597737,0.70271936, 0.00142159 ,
0.146128 , 0.63757243, 0.00166838,0.66545438, 0.00110714,0.77847954, 0.00102839 ,,1.30103 , 4.81383481, 0.07380336,1.57123525, 0.00929652,0.66939361, 0.00101172 ,
0.20412 , 0.58262536, 0.00122352,0.60922508, 0.00131450,0.72271786, 0.00067564 ,,1.60206 , 2.98591579, 0.05523264,1.26844128, 0.00772459,0.66879316, 0.00104722 ,
0.255273 , 0.54393831, 0.00131376,0.56841025, 0.00099343,0.68273749, 0.00070447 ,,1.69897 , 2.69358616, 0.03817545,1.24076597, 0.00736584,0.66981586, 0.00097530 ,
0.30103 , 0.51508981, 0.00143407,0.53907648, 0.00091184,0.65287234, 0.00064490 ,,2 , 2.32861526, 0.02524030,1.22985025, 0.00949477,0.66811401, 0.00077343 ,
0.60206 , 0.43700215, 0.00099147,0.46369784, 0.00069348,0.57673806, 0.00063114 ,,2.30103 , 2.28442415, 0.02455112,1.22609869, 0.00611767,0.66830705, 0.00095728 ,
1 , 0.65410114, 0.00385008,0.65279993, 0.00246993,0.64132796, 0.00112793 ,,2.47712 , 2.35048451, 0.02357362,1.21520857, 0.00752782,0.66903166, 0.00081279 ,
1.30103 , 1.11267125, 0.00794539,0.96851760, 0.00386106,0.66741184, 0.00089969 ,,3 , 2.33099593, 0.03652262,1.21508161, 0.00544078,0.66869418, 0.00105455 ,
1.60206 , 1.76460634, 0.01812506,1.17171422, 0.00609993,0.66851036, 0.00112759 ,,4 , 2.27204209, 0.02736180,1.21659019, 0.00805300,0.67074709, 0.00102531 ,
1.69897 , 1.94634355, 0.02420624,1.21141185, 0.00937131,0.66979758, 0.00086346 ,,
2 , 2.24726189, 0.03822809,1.23488283, 0.00686343,0.66666564, 0.00086915 ,,
2.30103 , 2.27755483, 0.01911528,1.21903042, 0.00524102,0.66844204, 0.00088385 ,,
2.47712 , 2.29348184, 0.02532314,1.22294112, 0.00631839,0.67153365, 0.00080476 ,,
3 , 2.29549238, 0.02479682,1.21832434, 0.00621231,0.66872743, 0.00081084 ,,
4 , 2.31082993, 0.03260071,1.22348511, 0.00612690,0.66939574, 0.00116356 ,,
