log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 2.51008671, 0.02141208,2.55583629, 0.01313787,2.60043079, 0.00840754 ,
-0.69897 , 1.31175170, 0.01016445,1.30614423, 0.00394705,1.40379190, 0.00333209 ,
-0.39794 , 0.70972387, 0.00337464,0.73428962, 0.00206364,0.81940971, 0.00119332 ,
-0.221849 , 0.54338998, 0.00259697,0.56175673, 0.00153707,0.64445865, 0.00056655 ,
-0.09691 , 0.47563762, 0.00236635,0.49102133, 0.00072463,0.57330702, 0.00066964 ,
0 , 0.44098153, 0.00211275,0.46591440, 0.00076485,0.54086765, 0.00030822 ,
0.0791812 , 0.43506990, 0.00199987,0.45798403, 0.00065119,0.52654706, 0.00038237 ,
0.146128 , 0.43913633, 0.00217747,0.45988959, 0.00091228,0.52613144, 0.00037240 ,
0.20412 , 0.45158372, 0.00154994,0.47050061, 0.00071694,0.53300280, 0.00045092 ,
0.255273 , 0.46627110, 0.00186505,0.48615792, 0.00042064,0.54389755, 0.00048671 ,
0.30103 , 0.48674789, 0.00225552,0.50776025, 0.00068311,0.55846176, 0.00039655 ,
0.60206 , 0.75662893, 0.00310198,0.76788363, 0.00135372,0.74786695, 0.00061187 ,
1 , 1.73357889, 0.01268715,1.65994407, 0.00447993,1.31287116, 0.00183102 ,
1.30103 , 3.24619331, 0.03337093,2.96433942, 0.00867119,1.92592316, 0.00342269 ,
1.60206 , 6.09977935, 0.07044401,4.72382022, 0.02100807,2.73526759, 0.00569761 ,
1.69897 , 7.01783504, 0.08419792,5.27041479, 0.02117036,3.04340263, 0.00674610 ,
2 , 10.86457454, 0.13156971,7.46094363, 0.04381309,4.32504549, 0.01023692 ,
2.30103 , 15.03641252, 0.25902572,10.66501762, 0.06165146,6.14360095, 0.02074345 ,
2.47712 , 18.26279154, 0.27178869,13.05004318, 0.12460139,7.43015867, 0.02590508 ,
3 , 34.19892066, 0.94875764,23.80680574, 0.29671874,13.71656615, 0.06505528 ,
4 , 105.22056423, 3.64324473,75.47430477, 1.55433914,43.00556301, 0.40504543 ,
