0.05,4.0,25000,3.25622613,4282.10049297,2166.84207563
0.05,10,15000,1.57133934,1663.69074788,857.23273888
0.05,20,6000,1.14229139,905.22301486,456.16494916
0.05,40,3000,1.01446168,530.75682764,270.21290522
0.05,50,2500,1.00433077,462.83059770,233.13927771
0.05,100,3000,1.00703107,389.66510070,194.08221616
0.05,200,3000,1.00482731,403.64455825,203.91592836
0.05,300,3000,0.98624985,397.68201525,197.23689101
0.05,1000,3000,1.00892083,397.58843720,198.16882639
0.05,10000,3000,0.99145013,400.97711512,199.96360283
0.05,0.4,199999,-327.81053917,39288.37009203,19235.29181105
0.05,0.6,149999,2050.06985954,29433.31246345,17774.88562762
0.05,0.8,99999,521.52055685,19881.49722180,10658.14396191
0.05,1.0,79999,5.24333275,16296.78977252,8227.74952670
0.05,1.2,79999,73.51752222,13543.29507515,6844.05786117
0.05,1.4,59999,344.15108312,12048.59540218,6610.71759844
0.05,1.6,59999,249.63223281,10406.16713428,5607.98619203
0.05,1.8,49999,191.55914643,8835.08619572,4607.06348278
0.05,2.0,49999,114.92502454,7612.21593832,3857.50513875
