  0.1,     992,      2.52063199,      0.03092144
  0.2,     718,      1.31188831,      0.01079126
  0.4,     283,      0.71897756,      0.00303672
  0.6,     186,      0.54320864,      0.00171622
  0.8,     250,      0.46906683,      0.00239814
  1.0,     160,      0.44463134,      0.00123049
  1.2,     183,      0.43237955,      0.00107223
  1.4,     130,      0.43900329,      0.00152278
  1.6,     115,      0.45127742,      0.00142488
  1.8,     198,      0.46230763,      0.00170438
  2.0,      95,      0.48506888,      0.00121920
  4.0,     227,      0.76006919,      0.00338758
   10,     618,      1.71558297,      0.01168727
   20,     569,      3.13999355,      0.01926501
   40,     928,      5.10878253,      0.03641387
   50,    1174,      5.78691600,      0.04943191
  100,    1252,      6.66275079,      0.08281468
  200,    1117,      6.75703048,      0.05479719
  300,    1772,      6.75259190,      0.10723825
 1000,     931,      6.65112855,      0.05232568
10000,    1733,      6.81919252,      0.10193184
