0.05,4.0,15000,3.05487979,3570.85123656,1779.00093419
0.05,10,10000,1.56418413,1616.36291024,803.01144088
0.05,20,5000,1.15898609,822.29952399,406.90966873
0.05,40,4000,1.02916701,529.31983288,263.55175628
0.05,50,4000,0.98807200,474.47790363,238.17431734
0.05,100,3000,0.98628685,397.72589513,198.15672508
0.05,200,4000,0.99678331,396.87796759,197.16496445
0.05,300,3000,1.01100554,392.68338899,198.95274760
0.05,1000,2000,1.00291651,395.07362338,198.58054913
0.05,10000,3000,0.99603531,413.73625283,207.72920079
0.05,0.4,199999,-543.52797401,40945.11543386,20121.98900801
0.05,0.6,149999,2433.25488290,27798.23648097,16549.29310968
0.05,0.8,99999,448.07465843,19826.86217465,10388.61767357
0.05,1.0,79999,-155.13575698,15595.91105416,7588.04475219
0.05,1.2,79999,308.87397612,12910.82252683,6725.72967233
0.05,1.4,59999,370.19944242,11710.33453829,6395.23638688
0.05,1.6,59999,103.24068253,9958.15450978,5091.53273451
0.05,1.8,49999,127.38447231,8392.60890907,4158.09892980
0.05,2.0,49999,137.02739988,7859.33493962,4132.20686459
