0.05,0.01,500000,478.62880162,183194.92605414,54729.82470721
0.05,0.02,500000,356.01593908,155684.58380762,47718.90922581
0.05,0.05,300000,172.49386860,120208.36905528,46553.51163952
0.05,0.1,250000,75.38198887,86037.11249017,41658.02972100
0.05,0.2,250000,30.24624515,49893.50893663,23283.40978783
0.05,0.4,90000,23.59022633,28112.47703743,13540.56797858
0.05,0.6,80000,14.47740097,18262.73328486,7876.89327879
0.05,0.8,60000,13.86212560,15299.83897939,7219.80016669
0.05,1.0,60000,10.96280262,14432.34987206,7677.18381027
0.05,1.2,60000,7.77975826,12776.48985139,6736.10580999
0.05,1.4,40000,7.81232270,11023.87459717,5871.75456330
0.05,1.6,30000,6.03208292,7881.56926371,3721.57498477
0.05,1.8,40000,6.09364896,7848.27162020,3893.71242346
0.05,2.0,30000,5.51484576,6900.10606737,3308.24765149
0.05,4.0,20000,2.79124792,3957.32178713,1978.84659497
0.05,10,10000,1.56132988,1614.03669017,812.78747466
0.05,20,6000,1.15737806,911.58256606,465.10320632
0.05,40,4000,1.02056354,518.36815300,261.14157681
0.05,50,5000,1.00561239,472.38949793,236.14685308
0.05,100,3000,0.99583910,396.09744593,197.31136480
0.05,200,2000,0.99865686,393.68772078,197.74524402
0.05,300,3000,0.99468387,403.90759525,205.39060179
0.05,1000,3000,0.99165606,401.39425601,203.84513445
0.05,10000,3000,0.98372954,404.38730778,205.51758447
