dt,middle,middle-error,dt,end,end-error,dt,beginning,beginning-error,dt,side,side-error,dt,PV-middle,PV-middle-error,dt,PV-end,PV-end-error,dt,PV-beginning,PV-beginning-error,dt,PV-side,PV-side-error,dt,exact
0.05 , 0.49938107 , 0.00005259 ,	0.05 , 0.50001518 , 0.00005279 ,	0.05 , 0.50003442 , 0.00004676 ,	0.05 , 0.50005286 , 0.00003196 ,	0.05 , 0.50066169 , 0.00004453 ,	0.05 , 0.50002417 , 0.00004104 ,	0.05 , 0.49999952 , 0.00004422 ,	0.05 , 0.50005898 , 0.00003213 ,					0,0.5
0.10 , 0.49741965 , 0.00004436 ,	0.10 , 0.50005766 , 0.00004085 ,	0.10 , 0.50005102 , 0.00005337 ,	0.10 , 0.49997967 , 0.00003261 ,	0.10 , 0.50255845 , 0.00005804 ,	0.10 , 0.50003753 , 0.00003879 ,	0.10 , 0.50000610 , 0.00003639 ,	0.10 , 0.50006344 , 0.00003524 ,					0.02,0.5
0.20 , 0.48985911 , 0.00003346 ,	0.20 , 0.50004007 , 0.00004579 ,	0.20 , 0.50007749 , 0.00003635 ,	0.20 , 0.50003978 , 0.00003287 ,	0.20 , 0.51061870 , 0.00003752 ,	0.20 , 0.50000426 , 0.00004445 ,	0.20 , 0.50000905 , 0.00004508 ,	0.20 , 0.50004985 , 0.00003340 ,					0.04,0.5
0.30 , 0.47719505 , 0.00004556 ,	0.30 , 0.50022628 , 0.00007018 ,	0.30 , 0.50039124 , 0.00004793 ,	0.30 , 0.50031885 , 0.00003501 ,	0.30 , 0.52541461 , 0.00005198 ,	0.30 , 0.50016018 , 0.00004410 ,	0.30 , 0.50006470 , 0.00004904 ,	0.30 , 0.50004479 , 0.00003385 ,					0.06,0.5
0.35 , 0.46907560 , 0.00005666 ,	0.35 , 0.50051662 , 0.00004963 ,	0.35 , 0.50107708 , 0.00005446 ,	0.35 , 0.50070433 , 0.00004206 ,	0.35 , 0.53596750 , 0.00005653 ,	0.35 , 0.50008746 , 0.00004018 ,	0.35 , 0.50024290 , 0.00004491 ,	0.35 , 0.50021528 , 0.00003497 ,					0.08,0.5
0.40 , 0.45992218 , 0.00003878 ,	0.40 , 0.50095299 , 0.00005240 ,	0.40 , 0.50270683 , 0.00005201 ,	0.40 , 0.50164341 , 0.00003325 ,	0.40 , 0.54924790 , 0.00007175 ,	0.40 , 0.50028752 , 0.00004349 ,	0.40 , 0.50082085 , 0.00005071 ,	0.40 , 0.50041985 , 0.00002549 ,					0.1,0.5
0.50 , 0.43880222 , 0.00005029 ,	0.50 , 0.50361433 , 0.00004148 ,	0.50 , 0.51225409 , 0.00005028 ,	0.45 , 0.50355182 , 0.00003329 ,	0.50 , 0.58631691 , 0.00006161 ,	0.50 , 0.50107596 , 0.00004632 ,	0.50 , 0.50367025 , 0.00005931 ,	0.50 , 0.50226185 , 0.00003655 ,					0.12,0.5
0.60 , 0.41711821 , 0.00004238 ,	0.55 , 0.50636652 , 0.00005160 ,	0.55 , 0.52355857 , 0.00005494 ,	0.48 ,  ,  ,	0.55 , 0.61166769 , 0.00007178 ,	0.60 , 0.50361244 , 0.00004271 ,	0.60 , 0.51534010 , 0.00006335 ,	0.55 , 0.50467107 , 0.00003789 ,					0.14,0.5
0.70 , 0.40397386 , 0.00004412 ,	0.58 ,  ,  ,	0.58 ,  ,  ,	0.50 ,  ,  ,	0.58 ,  ,  ,	0.70 , 0.51052487 , 0.00004467 ,	0.70 , 0.55641428 , 0.00008522 ,	0.58 ,  ,  ,					0.16,0.5
0.72 ,  ,  ,	0.60 ,  ,  ,	0.60 ,  ,  ,	0.60 ,  ,  ,	0.60 ,  ,  ,	0.72 , 0.51265807 , 0.00006254 ,	0.72 ,  ,  ,	0.60 ,  ,  ,					0.18,0.5
0.75 ,  ,  ,	0.70 ,  ,  ,	0.70 ,  ,  ,	0.70 ,  ,  ,	0.70 ,  ,  ,	0.75 ,  ,  ,	0.75 ,  ,  ,	0.70 ,  ,  ,					0.2,0.5
0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,					0.22,0.5
