dt,middle,middle-error,dt,end,end-error,dt,beginning,beginning-error,dt,side,side-error,dt,PV-middle,PV-middle-error,dt,PV-end,PV-end-error,dt,PV-beginning,PV-beginning-error,dt,PV-side,PV-side-error,dt,exact
0.75 ,  ,  ,	0.70 ,  ,  ,	0.70 ,  ,  ,	0.70 ,  ,  ,	0.70 ,  ,  ,	0.75 ,  ,  ,	0.75 ,  ,  ,	0.70 ,  ,  ,					0.2,0.25
0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,	0.80 ,  ,  ,					0.22,0.25
0.90 ,  ,  ,	0.90 ,  ,  ,	0.90 ,  ,  ,	0.90 ,  ,  ,	0.90 ,  ,  ,	0.90 ,  ,  ,	0.90 ,  ,  ,	0.90 ,  ,  ,					0.24,0.25
1.00 ,  ,  ,	1.00 ,  ,  ,	1.00 ,  ,  ,	1.00 ,  ,  ,	1.00 ,  ,  ,	1.00 ,  ,  ,	1.00 ,  ,  ,	1.00 ,  ,  ,					0.26,0.25
1.20 ,  ,  ,	1.20 ,  ,  ,	1.20 ,  ,  ,	1.20 ,  ,  ,	1.20 ,  ,  ,	1.20 ,  ,  ,	1.20 ,  ,  ,	1.20 ,  ,  ,					0.28,0.25
1.50 ,  ,  ,	1.50 ,  ,  ,	1.50 ,  ,  ,	1.50 ,  ,  ,	1.50 ,  ,  ,	1.50 ,  ,  ,	1.50 ,  ,  ,	1.50 ,  ,  ,					0.3,0.25
1.80 ,  ,  ,	1.80 ,  ,  ,	1.80 ,  ,  ,	1.80 ,  ,  ,	1.80 ,  ,  ,	1.80 ,  ,  ,	1.80 ,  ,  ,	1.80 ,  ,  ,					0.32,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.34,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.36,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.38,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.4,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.42,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.44,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.25
,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.25
