  0.1,    1533,     10.15403590,      0.09941080
  0.2,    1254,      5.09407777,      0.05695896
  0.4,     318,      2.60241760,      0.01127325
  0.6,     256,      1.83918247,      0.00850904
  0.8,     513,      1.50568117,      0.01185005
  1.0,     153,      1.27519959,      0.00466187
  1.2,     234,      1.16632211,      0.00481282
  1.4,     174,      1.09715581,      0.00279337
  1.6,     104,      1.05015190,      0.00323308
  1.8,     217,      1.03885126,      0.00368599
  2.0,     142,      1.02341639,      0.00387713
  4.0,     256,      1.26168257,      0.00478381
   10,     644,      2.58961069,      0.02908555
   20,    1169,      4.65965187,      0.06709917
   40,    1565,      7.47550720,      0.12611886
   50,    2042,      8.44272164,      0.17386672
  100,    2136,      9.85341388,      0.23809048
  200,    2488,     10.19741787,      0.24849167
  300,    2127,     10.28171209,      0.23416958
 1000,    2580,     10.07582866,      0.23333648
10000,    2352,      9.86950022,      0.14069967
