log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,
-1 , 4.73047877, 0.99752891,5.06233597, 0.03514683,5.20830548, 0.02176486 ,
-0.69897 , 2.51695516, 0.26328504,2.59247062, 0.01206645,2.72191505, 0.00610114 ,
-0.39794 , 1.48976457, 0.03727516,1.48736902, 0.00453492,1.57758296, 0.00273155 ,
-0.221849 , 1.08240416, 0.03959351,1.17215786, 0.00239113,1.26663321, 0.00166407 ,
-0.09691 , 1.04689437, 0.03057335,1.06607229, 0.00206243,1.15379222, 0.00148014 ,
0 , 0.86386275, 0.05844852,1.03915243, 0.00146844,1.13037351, 0.00145163 ,
0.0791812 , 1.02484748, 0.01479646,1.06267378, 0.00171091,1.13893058, 0.00091189 ,
0.146128 , 1.08695454, 0.04038053,1.09807523, 0.00166848,1.17804499, 0.00107427 ,
0.20412 , 1.22804197, 0.07379127,1.15675388, 0.00138605,1.23188492, 0.00126058 ,
0.255273 , 1.18838721, 0.01095740,1.22501413, 0.00219322,1.29405724, 0.00146886 ,
0.30103 , 1.33271931, 0.07358847,1.29266112, 0.00208813,1.35758307, 0.00122097 ,
0.60206 , 2.08071183, 0.07457118,2.16484138, 0.00688321,2.19494377, 0.00328914 ,
1 , 4.89638540, 0.19097001,5.05098530, 0.03757522,5.09675863, 0.01749274 ,
1.30103 , 9.28911239, 0.31408995,9.82964499, 0.06796727,10.05318901, 0.03926983 ,
1.60206 , 19.91329968, 0.33279746,19.94815494, 0.21345424,19.85490944, 0.10212118 ,
1.69897 , 24.91055277, 0.44908282,25.31572115, 0.31648764,25.05406148, 0.14659214 ,
2 , 52.40228807, 1.20916983,49.48695284, 0.74708288,50.85556902, 0.60430435 ,
2.30103 , 97.56391824, 6.18329946,99.76619345, 2.39532453,101.01511433, 1.49774338 ,
2.47712 , 153.68097185, 8.88476292,146.03444146, 3.89733679,153.59584487, 2.96025968 ,
3 , 414.96355328, 14.42050235,466.25817254, 15.33464020,467.89428462, 13.62528846 ,
4 , 2731.95866217, 202.67798003,4005.60638836, 334.72293686,4164.29179986, 330.87036113 ,
