log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 5.03288022, 0.05905416,5.02447820, 0.03723023,5.22988319, 0.02577700 ,,-1 , 5.10539652, 0.05325366,5.03634946, 0.02863922,5.19792149, 0.01860948 ,
-0.69897 , 2.60438765, 0.02562761,2.68079331, 0.01365525,2.74890723, 0.00782229 ,,-0.69897 , 2.60662852, 0.02002135,2.63522843, 0.00934062,2.74328496, 0.00865057 ,
-0.39794 , 1.48050248, 0.00896161,1.49151969, 0.00548257,1.58947953, 0.00350654 ,,-0.39794 , 1.47108535, 0.00600523,1.48572930, 0.00635153,1.58884243, 0.00281658 ,
-0.221849 , 1.16088144, 0.00549836,1.18497207, 0.00360635,1.27178587, 0.00241889 ,,-0.221849 , 1.14836872, 0.00400889,1.17338074, 0.00284164,1.27091156, 0.00200875 ,
-0.09691 , 1.06369333, 0.00601737,1.06923620, 0.00230130,1.15590756, 0.00132170 ,,-0.09691 , 1.05836365, 0.00541272,1.07278856, 0.00255211,1.15749920, 0.00165628 ,
0 , 1.02465087, 0.00374434,1.04693973, 0.00184470,1.12629883, 0.00137642 ,,0 , 1.02133732, 0.00299697,1.04820067, 0.00260697,1.12774111, 0.00107207 ,
0.0791812 , 1.03654755, 0.00538554,1.06201749, 0.00236324,1.13636374, 0.00097152 ,,0.0791812 , 1.04075984, 0.00297659,1.06658143, 0.00197937,1.13807626, 0.00130235 ,
0.146128 , 1.07969219, 0.00266393,1.10335553, 0.00217553,1.16989919, 0.00106090 ,,0.146128 , 1.08676227, 0.00390138,1.10507970, 0.00182873,1.17037020, 0.00118908 ,
0.20412 , 1.14160772, 0.00492585,1.15709420, 0.00239240,1.21724661, 0.00154403 ,,0.20412 , 1.13884977, 0.00381232,1.15199354, 0.00246127,1.21832534, 0.00114674 ,
0.255273 , 1.20613440, 0.00244678,1.21953298, 0.00199911,1.27573228, 0.00126712 ,,0.255273 , 1.20007215, 0.00276184,1.22161356, 0.00194499,1.27567553, 0.00137338 ,
0.30103 , 1.28160140, 0.00514123,1.29080033, 0.00332713,1.33429181, 0.00148696 ,,0.30103 , 1.26940507, 0.00363891,1.29617753, 0.00454436,1.33698831, 0.00211013 ,
0.60206 , 2.14441493, 0.01040888,2.15365042, 0.00778865,1.99635539, 0.00308140 ,,0.60206 , 2.14595624, 0.01217365,2.13271473, 0.00923226,2.00200416, 0.00394633 ,
1 , 4.96280854, 0.03504310,4.69812021, 0.02428552,3.10946131, 0.00792646 ,,1 , 5.01088213, 0.04034031,4.73092036, 0.03036253,3.10959390, 0.00674960 ,
1.30103 , 9.40672251, 0.11117749,7.84283760, 0.08634640,3.38022277, 0.01006556 ,,1.30103 , 9.18488133, 0.08495249,7.62570424, 0.05892636,3.38615610, 0.00787140 ,
1.60206 , 14.89664137, 0.19310126,9.60665034, 0.07160658,3.38332648, 0.00954442 ,,1.60206 , 15.62161736, 0.39643527,9.55346154, 0.09650919,3.41629968, 0.00971115 ,
1.69897 , 16.66018305, 0.19158705,9.90764356, 0.08505746,3.41983999, 0.01013973 ,,1.69897 , 17.18218276, 0.29589913,9.88139085, 0.06107862,3.41762958, 0.00778654 ,
2 , 19.89797825, 0.51699506,10.09609826, 0.07161934,3.38478391, 0.00939201 ,,2 , 19.47331889, 0.29070920,10.14861284, 0.07257143,3.40693842, 0.00860582 ,
2.30103 , 20.31592594, 0.29350673,9.93632660, 0.13693635,3.41888219, 0.01196270 ,,2.30103 , 20.48308359, 0.31889504,9.97535011, 0.09697676,3.41969770, 0.01126210 ,
2.47712 , 20.69588247, 0.41508658,10.04892639, 0.09624159,3.40458713, 0.00937982 ,,2.47712 , 20.67175099, 0.37331017,10.18871856, 0.11911152,3.36954276, 0.01055103 ,
3 , 19.79869722, 0.34299373,10.07963540, 0.12607510,3.44573324, 0.01203413 ,,3 , 19.74339385, 0.32211485,10.06615829, 0.07088200,3.39873403, 0.00975576 ,
4 , 19.66514087, 0.36999710,10.09793361, 0.08431552,3.41738049, 0.00961342 ,,4 , 19.16956306, 0.29513362,10.05877004, 0.09477410,3.39889259, 0.00800083 ,
