log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 4.97420062, 0.05616761,5.04456757, 0.02830191,5.19699723, 0.01679597 ,,-0.39794 , 1470.24710757, 108.41415482,479.23829119, 30.91058092,52.37764643, 0.45506047 ,
-0.69897 , 2.64900175, 0.02936020,2.64769895, 0.01615865,2.73451212, 0.00736956 ,,-0.09691 , 756.05355424, 52.19315477,243.62975855, 10.30397062,26.45172445, 0.25484676 ,
-0.39794 , 1.48247110, 0.00925183,1.50519379, 0.00498115,1.58897752, 0.00294822 ,,0.0791812 , 529.82543105, 24.39520252,155.33435384, 4.92169852,17.90561277, 0.10853417 ,
-0.221849 , 1.15533332, 0.00319653,1.17854438, 0.00339799,1.26986726, 0.00236465 ,,0.20412 , 446.49716469, 37.90590210,119.43452505, 3.19285212,13.68566182, 0.09221666 ,
-0.09691 , 1.04745474, 0.00408840,1.06949991, 0.00257035,1.15521802, 0.00175335 ,,0.30103 , 365.43254579, 18.98921489,95.58814546, 2.58849068,11.08440850, 0.06972293 ,
0 , 1.02230825, 0.00354137,1.04471676, 0.00245926,1.12544413, 0.00136919 ,,0.60206 , 202.23459340, 7.97986823,49.60218199, 1.01733679,6.12729558, 0.02030857 ,
0.0791812 , 1.04410879, 0.00284948,1.05968562, 0.00147245,1.13844796, 0.00123131 ,,1 , 84.63929255, 4.47968530,21.76541158, 0.32434826,3.74056825, 0.01055295 ,
0.146128 , 1.07888740, 0.00445766,1.09567424, 0.00129277,1.17022021, 0.00122461 ,,1.30103 , 41.93767361, 0.77451439,13.04846137, 0.13294414,3.41049964, 0.01128833 ,
0.20412 , 1.13489297, 0.00275890,1.15543891, 0.00212625,1.21882911, 0.00138337 ,,1.60206 , 26.27210499, 0.64952459,10.29106692, 0.10851666,3.41778142, 0.00942974 ,
0.255273 , 1.19719721, 0.00404058,1.21840854, 0.00259943,1.27458972, 0.00134054 ,,1.69897 , 23.24194505, 0.44220497,10.24079159, 0.09332642,3.39597783, 0.00866423 ,
0.30103 , 1.27119344, 0.00430454,1.29083248, 0.00284031,1.33066640, 0.00147062 ,,2 , 20.18814304, 0.25069361,10.07517950, 0.08407285,3.40313469, 0.00933635 ,
0.60206 , 2.14668374, 0.01370470,2.12905465, 0.00668840,1.99846056, 0.00373617 ,,2.30103 , 19.51656711, 0.32183012,9.90293870, 0.09234303,3.40409700, 0.00780092 ,
1 , 5.01679357, 0.04058577,4.68506545, 0.01829386,3.10539424, 0.00730610 ,,2.47712 , 19.54761113, 0.33832730,10.09855771, 0.09009990,3.40187259, 0.00867076 ,
1.30103 , 9.57530871, 0.13086338,7.63209053, 0.06397276,3.37803306, 0.00680208 ,,3 , 19.32887522, 0.34286581,9.96437547, 0.07661976,3.41515145, 0.00920771 ,
1.60206 , 14.92130052, 0.19233108,9.75309276, 0.07120018,3.40079884, 0.01093979 ,,4 , 20.10935521, 0.30169788,9.89524632, 0.06774453,3.40274152, 0.00885102 ,
1.69897 , 17.20572773, 0.47398349,9.83614152, 0.06790419,3.39349487, 0.00791946 ,,
2 , 19.77010703, 0.33538142,10.05376647, 0.07082791,3.42901724, 0.01365068 ,,
2.30103 , 19.75970471, 0.31784403,10.04847166, 0.08103057,3.40910219, 0.01184914 ,,
2.47712 , 19.82361422, 0.39003831,10.15342428, 0.08599788,3.40545804, 0.00714354 ,,
3 , 19.84438214, 0.45413398,10.03341632, 0.08304456,3.40702564, 0.01201602 ,,
4 , 20.76658467, 0.55188284,9.93586085, 0.10704459,3.39132113, 0.00990809 ,,
