log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 5.08664852, 0.05218422,5.14050697, 0.03139393,5.18418521, 0.02504721 ,,-1 , 5.10539652, 0.05325366,5.14675431, 0.05219435,5.13726620, 0.02909552 ,
-0.69897 , 2.62722715, 0.02019438,2.62756122, 0.00798350,2.74931532, 0.00737363 ,,-0.69897 , 2.64546302, 0.02451782,2.62639667, 0.01581595,2.74297606, 0.00983680 ,
-0.39794 , 1.45965269, 0.00616835,1.49950181, 0.00470507,1.58894882, 0.00378206 ,,-0.39794 , 1.48148482, 0.00789801,1.50491938, 0.00639958,1.58708666, 0.00322793 ,
-0.221849 , 1.15475983, 0.00571339,1.17341074, 0.00302526,1.26430288, 0.00152635 ,,-0.221849 , 1.15580322, 0.00372920,1.17931676, 0.00318608,1.26474645, 0.00160886 ,
-0.09691 , 1.04953645, 0.00501875,1.07329480, 0.00232528,1.15811143, 0.00181930 ,,-0.09691 , 1.05276288, 0.00440821,1.07194666, 0.00279603,1.15809967, 0.00131228 ,
0 , 1.02449528, 0.00284276,1.04742235, 0.00272817,1.12642473, 0.00103309 ,,0 , 1.01491697, 0.00334146,1.04548618, 0.00204899,1.12811003, 0.00149198 ,
0.0791812 , 1.03457249, 0.00545273,1.06259902, 0.00220042,1.13747598, 0.00122999 ,,0.0791812 , 1.04586700, 0.00499615,1.06415704, 0.00243225,1.13716176, 0.00144337 ,
0.146128 , 1.08545679, 0.00266768,1.10209422, 0.00173487,1.16967350, 0.00118297 ,,0.146128 , 1.08245208, 0.00416109,1.10564711, 0.00165540,1.17065258, 0.00090002 ,
0.20412 , 1.13622924, 0.00272780,1.15319253, 0.00206000,1.21839765, 0.00125596 ,,0.20412 , 1.13392671, 0.00399409,1.15684007, 0.00175354,1.21964510, 0.00115494 ,
0.255273 , 1.20327707, 0.00396939,1.22451668, 0.00296616,1.27326733, 0.00138437 ,,0.255273 , 1.21538206, 0.00552104,1.22231537, 0.00255770,1.27262590, 0.00153448 ,
0.30103 , 1.27135415, 0.00490001,1.29340468, 0.00336872,1.33506676, 0.00186220 ,,0.30103 , 1.27072215, 0.00547125,1.29279479, 0.00219247,1.33425545, 0.00157687 ,
0.60206 , 2.15637346, 0.01385327,2.14090386, 0.01090022,1.99801677, 0.00390710 ,,0.60206 , 2.14725059, 0.01550697,2.13500735, 0.00903846,1.99801875, 0.00394073 ,
1 , 4.95030940, 0.04641787,4.80251499, 0.03148192,3.13129539, 0.00602962 ,,1 , 4.99591058, 0.03865352,4.69223462, 0.03180485,3.11000798, 0.00759643 ,
1.30103 , 9.24538847, 0.15980449,7.63710887, 0.05553496,3.38946235, 0.01281835 ,,1.30103 , 9.08991284, 0.10674251,7.63873686, 0.06509967,3.38312536, 0.01169061 ,
1.60206 , 15.07968634, 0.25554875,9.68603231, 0.09104446,3.41376333, 0.01161483 ,,1.60206 , 15.21385895, 0.18896994,9.55282557, 0.08083149,3.40013331, 0.01016581 ,
1.69897 , 16.72018359, 0.28634754,9.68823564, 0.07032256,3.38692138, 0.01081551 ,,1.69897 , 16.36663014, 0.22091780,10.01270702, 0.09779161,3.40511839, 0.00990957 ,
2 , 19.82564095, 0.43766822,10.02113603, 0.11331109,3.40069293, 0.00981541 ,,2 , 19.06878094, 0.33505651,10.17988402, 0.14957790,3.40076711, 0.01200106 ,
2.30103 , 20.03836259, 0.29970342,9.93066497, 0.08493680,3.41540056, 0.01061803 ,,2.30103 , 20.14010156, 0.29991256,10.04696770, 0.10102705,3.41792210, 0.01176750 ,
2.47712 , 19.74808910, 0.33246338,10.22883657, 0.15391408,3.43287618, 0.01016845 ,,2.47712 , 20.02308804, 0.28350537,9.94782076, 0.06976549,3.41255259, 0.01052269 ,
3 , 20.56787245, 0.44181461,10.09454379, 0.13165288,3.40705501, 0.00969926 ,,3 , 19.67877566, 0.43018927,9.95414237, 0.11313847,3.40211998, 0.00676221 ,
4 , 19.61402430, 0.41065589,9.97584513, 0.09271807,3.38893450, 0.00937636 ,,4 , 19.92665263, 0.36085755,9.85690815, 0.07211621,3.39872784, 0.00892228 ,
