log(g),phys-num-0.05,0.05-error,phys-num-0.1,0.1-error,phys-num-0.3,0.3-error,,log(g),unphys-num-0.05,0.05-error,unphys-num-0.1,0.1-error,unphys-num-0.3,0.3-error,
-1 , 5.04104983, 0.03748692,5.06421824, 0.04065109,5.22035992, 0.02669613 ,,-0.39794 , 1525.62118104, 172.71082204,493.51892895, 27.13948420,53.16673417, 0.66973698 ,
-0.69897 , 2.60731310, 0.01353887,2.62781488, 0.01122618,2.74761849, 0.00733445 ,,-0.09691 , 836.54987262, 83.84155593,226.34696483, 7.16688249,26.51867954, 0.27501120 ,
-0.39794 , 1.47672791, 0.00716125,1.49799243, 0.00339790,1.59489640, 0.00262118 ,,0.0791812 , 545.94827461, 32.21508487,157.90622231, 5.41633847,17.80606495, 0.12641021 ,
-0.221849 , 1.15172187, 0.00467566,1.18023040, 0.00393047,1.26603942, 0.00182593 ,,0.20412 , 448.18617606, 20.87914924,121.07139713, 4.95375259,13.65631978, 0.09603613 ,
-0.09691 , 1.03982765, 0.00431937,1.07623900, 0.00269276,1.15741707, 0.00153806 ,,0.30103 , 353.82560584, 19.67782114,95.74613200, 1.50587046,11.14990544, 0.06329728 ,
0 , 1.02549846, 0.00338351,1.04671972, 0.00228015,1.12566717, 0.00121279 ,,0.60206 , 211.13903043, 12.19512066,49.98345153, 0.99380681,6.09201999, 0.02533590 ,
0.0791812 , 1.04169535, 0.00393548,1.06598610, 0.00183945,1.13810961, 0.00129328 ,,1 , 81.39873774, 1.96856843,21.42641170, 0.25828600,3.72847459, 0.01271497 ,
0.146128 , 1.07775508, 0.00292293,1.10565626, 0.00247418,1.17414077, 0.00127047 ,,1.30103 , 42.85807560, 1.41631712,13.07864285, 0.12348320,3.41473461, 0.01010184 ,
0.20412 , 1.13743575, 0.00265006,1.15826623, 0.00205122,1.21613688, 0.00091442 ,,1.60206 , 26.33941387, 0.58419469,10.44284890, 0.09506951,3.39800854, 0.01126831 ,
0.255273 , 1.19849510, 0.00317908,1.22105461, 0.00203281,1.27373736, 0.00170284 ,,1.69897 , 23.08026338, 0.39526168,10.04269316, 0.07377058,3.40481793, 0.01239899 ,
0.30103 , 1.27774912, 0.00385113,1.29054238, 0.00266604,1.33760010, 0.00163307 ,,2 , 20.48468963, 0.31445051,10.12079054, 0.10689017,3.37373016, 0.00626366 ,
0.60206 , 2.13470313, 0.01127158,2.13070827, 0.00482838,2.00062720, 0.00469494 ,,2.30103 , 19.77186945, 0.38771436,10.01559068, 0.08597532,3.39314482, 0.00692134 ,
1 , 5.00713310, 0.05421686,4.72969985, 0.03206497,3.11109868, 0.00604701 ,,2.47712 , 19.97479825, 0.44509485,10.04806295, 0.06735735,3.39188626, 0.01000638 ,
1.30103 , 9.33283824, 0.09742203,7.69432148, 0.04925379,3.39430872, 0.00912325 ,,3 , 20.03210198, 0.36769348,9.90990264, 0.05663154,3.39390636, 0.00885637 ,
1.60206 , 15.42098036, 0.28468409,9.61139474, 0.06968186,3.40898261, 0.00994532 ,,4 , 20.13573574, 0.36689179,9.92026290, 0.07884878,3.39193037, 0.00697917 ,
1.69897 , 16.89361338, 0.19818873,9.94292186, 0.09013425,3.40684749, 0.01131357 ,,
2 , 19.97466993, 0.44285194,9.90346292, 0.05220882,3.39434244, 0.00803416 ,,
2.30103 , 20.22752642, 0.50645369,10.17663357, 0.09164549,3.41854998, 0.01140599 ,,
2.47712 , 20.54059271, 0.41455596,10.06034490, 0.09192138,3.41965840, 0.00927748 ,,
3 , 19.89496316, 0.48000743,9.88437132, 0.09949049,3.40468349, 0.00872050 ,,
4 , 19.90369271, 0.30614089,9.92558863, 0.07770116,3.40816179, 0.01000584 ,,
