0.05,1.20,0.24937809,0.00004289,0.50002200,0.00003450,0.74940009,0.00007045
0.10,1.20,0.24747430,0.00002403,0.49997921,0.00003004,0.74745352,0.00004296
0.20,1.20,0.23991657,0.00002511,0.50005249,0.00002366,0.73996907,0.00003536
0.30,1.20,0.22746065,0.00002555,0.50009733,0.00003110,0.72755798,0.00004714
0.35,1.20,0.21949973,0.00002446,0.50017720,0.00003189,0.71967693,0.00004155
0.38,1.20,0.21417922,0.00002334,0.50029625,0.00002801,0.71447547,0.00004413
0.40,1.20,0.21035936,0.00003322,0.50045195,0.00003316,0.71081132,0.00006201
0.42,1.20,0.20649537,0.00002209,0.50063776,0.00003746,0.70713312,0.00005162
0.45,1.20,0.20031340,0.00003004,0.50103397,0.00004206,0.70134737,0.00006662
0.48,1.20,0.19383586,0.00002219,0.50171008,0.00003830,0.69554594,0.00004778
0.50,1.20,0.18942633,0.00002387,0.50238358,0.00005044,0.69180992,0.00006466
0.52,1.20,0.18490445,0.00002133,0.50296084,0.00003493,0.68786529,0.00004664
0.55,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.60,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.70,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.80,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.90,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.00,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.20,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.50,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.80,1.20,NaN,NaN,NaN,NaN,NaN,NaN
