    0.30    4.00     030      0.25002189      0.00005787
    0.30    4.00     150      0.24996898      0.00005174
    0.30    4.00     180      0.25004145      0.00005880
    0.30    4.00     210      0.24997654      0.00006747
    0.30    4.00     330      0.25004166      0.00003812
    0.30    4.00     360      0.25001896      0.00004642
    0.40    4.00     030      0.25013990      0.00004076
    0.40    4.00     120      0.25004474      0.00003842
    0.40    4.00     150      0.25011567      0.00005459
    0.40    4.00     180      0.25006534      0.00004725
    0.40    4.00     210      0.25003340      0.00005469
    0.40    4.00     240      0.25003051      0.00004762
    0.40    4.00     360      0.25015873      0.00004597
    0.50    4.00     120      0.25054513      0.00004053
    0.50    4.00     150      0.25048212      0.00005462
    0.50    4.00     180      0.25046617      0.00006260
    0.50    4.00     210      0.25044865      0.00004921
    0.60    4.00     180      0.25231791      0.00003015
    0.60    4.00     360      0.25432586      0.00003792
