      gamma_real      gamma_imag      sigma_real      sigma_imag              Ep         Ep_imag       Correstep
            5.00            5.24            1.00            0.80             NaN             NaN             NaN
            5.00            5.24            1.20            0.20      0.25100275      0.05001734      2.04925445
            5.00            5.24            1.20            0.40      0.25107105      0.10007689      2.10885109
            5.00            5.24            1.20            0.60      0.25147230      0.15018921      2.07046227
            5.00            5.24            1.20            0.80      0.25219219      0.20019019      2.06211582
            5.00            5.24            1.20            1.00             NaN             NaN             NaN
            5.00            6.28            0.20            0.00      0.24993553      0.00000000      3.92407596
            5.00            6.28            0.40            0.00      0.25012830      0.00000000      2.92471324
            5.00            6.28            0.40            0.20      0.24995789      0.05001775      3.21019318
            5.00            6.28            0.60            0.00      0.25019598      0.00000000      2.47585016
            5.00            6.28            0.60            0.20      0.25024125      0.05000041      2.66728739
            5.00            6.28            0.60            0.40      0.25022866      0.10001337      2.72424531
            5.00            6.28            0.80            0.00      0.25046328      0.00000000      2.30746591
            5.00            6.28            0.80            0.20      0.25047261      0.05000739      2.40647327
            5.00            6.28            0.80            0.40      0.25069956      0.10001996      2.54629387
            5.00            6.28            0.80            0.60      0.25044528      0.15013491      2.46708449
            5.00            6.28            1.00            0.00      0.25060910      0.00000000      2.34741144
            5.00            6.28            1.00            0.20      0.25069116      0.05002044      2.26364978
            5.00            6.28            1.00            0.40      0.25087719      0.10005257      2.13634290
            5.00            6.28            1.00            0.60             NaN             NaN             NaN
            5.00            6.28            1.00            0.80             NaN             NaN             NaN
            5.00            6.28            1.20            0.00      0.25075404      0.00000000      2.02054265
            5.00            6.28            1.20            0.20      0.25090662      0.05002615      1.89000569
            5.00            6.28            1.20            0.40      0.25112385      0.10000745      2.16153829
            5.00            6.28            1.20            0.60      0.25130697      0.15015791      2.13123559
            5.00            6.28            1.20            0.80             NaN             NaN             NaN
            5.00            6.28            1.20            1.00      0.25194957      0.25053197      2.07030937
            6.00            0.00            0.20            0.00      0.25001530      0.00000000      3.19428258
            6.00            0.00            0.40            0.00      0.25015538      0.00000000      2.41947193
            6.00            0.00            0.40            0.20             NaN             NaN             NaN
            6.00            0.00            0.60            0.00      0.25034576      0.00000000      2.46795980
            6.00            0.00            0.60            0.20      0.25040100      0.05000210      2.45838740
            6.00            0.00            0.60            0.40             NaN             NaN             NaN
            6.00            0.00            0.80            0.00      0.25051974      0.00000000      1.81668632
            6.00            0.00            0.80            0.20             NaN             NaN             NaN
            6.00            0.00            0.80            0.40      0.25085631      0.10003968      2.09804312
            6.00            0.00            0.80            0.60             NaN             NaN             NaN
            6.00            0.00            1.00            0.00      0.25088757      0.00000000      1.72346750
            6.00            0.00            1.00            0.20      0.25097608      0.05000353      1.76302169
            6.00            0.00            1.00            0.40             NaN             NaN             NaN
            6.00            0.00            1.00            0.60      0.25140315      0.15024184      1.85166344
            6.00            0.00            1.00            0.80      0.25156225      0.20046452      1.85819860
            6.00            0.00            1.20            0.00      0.25119423      0.00000000      1.83796414
            6.00            0.00            1.20            0.20      0.25146963      0.04999842      1.73283586
            6.00            0.00            1.20            0.40             NaN             NaN             NaN
            6.00            0.00            1.20            0.60             NaN             NaN             NaN
            6.00            0.00            1.20            0.80             NaN             NaN             NaN
            6.00            0.00            1.20            1.00             NaN             NaN             NaN
            6.00            1.05            0.40            0.20      0.25040310      0.05001363      2.70795861
            6.00            1.05            0.60            0.20      0.25048242      0.05002243      2.30787067
            6.00            1.05            0.60            0.40             NaN             NaN             NaN
            6.00            1.05            0.80            0.20             NaN             NaN             NaN
            6.00            1.05            0.80            0.40      0.25077620      0.10005902      1.95204822
            6.00            1.05            0.80            0.60      0.25125485      0.15016173      2.01487850
            6.00            1.05            1.00            0.20      0.25092651      0.05003207      1.90666819
            6.00            1.05            1.00            0.40             NaN             NaN             NaN
            6.00            1.05            1.00            0.60      0.25162473      0.15022837      1.80124820
            6.00            1.05            1.00            0.80             NaN             NaN             NaN
            6.00            1.05            1.20            0.20      0.25143167      0.04996891      1.74553478
            6.00            1.05            1.20            0.40             NaN             NaN             NaN
            6.00            1.05            1.20            0.60             NaN             NaN             NaN
            6.00            1.05            1.20            0.80      0.25237706      0.20041802      1.72323947
            6.00            1.05            1.20            1.00             NaN             NaN             NaN
            6.00            2.09            0.40            0.20      0.25053235      0.04998999      2.76818654
            6.00            2.09            0.60            0.20             NaN             NaN             NaN
            6.00            2.09            0.60            0.40             NaN             NaN             NaN
            6.00            2.09            0.80            0.20             NaN             NaN             NaN
            6.00            2.09            0.80            0.40             NaN             NaN             NaN
            6.00            2.09            0.80            0.60             NaN             NaN             NaN
            6.00            2.09            1.00            0.20      0.25103295      0.05002718      1.74155252
            6.00            2.09            1.00            0.40             NaN             NaN             NaN
            6.00            2.09            1.00            0.60             NaN             NaN             NaN
            6.00            2.09            1.00            0.80             NaN             NaN             NaN
            6.00            2.09            1.20            0.20      0.25128919      0.04999252      1.60854311
            6.00            2.09            1.20            0.40      0.25158986      0.10003371      1.76234141
            6.00            2.09            1.20            0.60      0.25200838      0.15018713      1.89038035
            6.00            2.09            1.20            0.80      0.25245825      0.20030871      1.73542893
            6.00            2.09            1.20            1.00             NaN             NaN             NaN
            6.00            3.14            0.40            0.20      0.24982377      0.05002332      2.92459646
            6.00            3.14            0.60            0.20      0.25025077      0.04995812      2.38906132
            6.00            3.14            0.60            0.40             NaN             NaN             NaN
            6.00            3.14            0.80            0.20             NaN             NaN             NaN
            6.00            3.14            0.80            0.40      0.25095675      0.10002309      2.16728626
            6.00            3.14            0.80            0.60             NaN             NaN             NaN
            6.00            3.14            1.00            0.20             NaN             NaN             NaN
            6.00            3.14            1.00            0.40             NaN             NaN             NaN
            6.00            3.14            1.00            0.60      0.25163338      0.15010367      1.99642346
            6.00            3.14            1.00            0.80             NaN             NaN             NaN
            6.00            3.14            1.20            0.20      0.25126912      0.04999505      1.72497025
            6.00            3.14            1.20            0.40             NaN             NaN             NaN
            6.00            3.14            1.20            0.60             NaN             NaN             NaN
            6.00            3.14            1.20            0.80      0.25247156      0.20031391      1.88530415
            6.00            3.14            1.20            1.00             NaN             NaN             NaN
            6.00            4.19            0.40            0.20             NaN             NaN             NaN
            6.00            4.19            0.60            0.20      0.25056578      0.04999701      2.57012760
            6.00            4.19            0.60            0.40             NaN             NaN             NaN
            6.00            4.19            0.80            0.20      0.25063340      0.05000755      2.06932129
            6.00            4.19            0.80            0.40      0.25087433      0.10000167      2.28122563
            6.00            4.19            0.80            0.60             NaN             NaN             NaN
            6.00            4.19            1.00            0.20      0.25085606      0.04998804      2.01157205
            6.00            4.19            1.00            0.40             NaN             NaN             NaN
            6.00            4.19            1.00            0.60             NaN             NaN             NaN
            6.00            4.19            1.00            0.80             NaN             NaN             NaN
            6.00            4.19            1.20            0.20      0.25116638      0.04999069      1.88398402
            6.00            4.19            1.20            0.40             NaN             NaN             NaN
            6.00            4.19            1.20            0.60      0.25180763      0.15014628      2.00828794
            6.00            4.19            1.20            0.80             NaN             NaN             NaN
            6.00            4.19            1.20            1.00             NaN             NaN             NaN
            6.00            5.24            0.40            0.20             NaN             NaN             NaN
            6.00            5.24            0.60            0.20      0.25028604      0.05000679      2.45711373
            6.00            5.24            0.60            0.40      0.25078775      0.09995895      2.54258960
            6.00            5.24            0.80            0.20      0.25051225      0.05002751      2.25808546
            6.00            5.24            0.80            0.40             NaN             NaN             NaN
            6.00            5.24            0.80            0.60      0.25086785      0.15013862      2.29089123
            6.00            5.24            1.00            0.20      0.25063859      0.04999261      2.13554790
            6.00            5.24            1.00            0.40      0.25102449      0.10007386      2.06461280
            6.00            5.24            1.00            0.60      0.25103604      0.15017915      2.18918828
            6.00            5.24            1.00            0.80             NaN             NaN             NaN
            6.00            5.24            1.20            0.20      0.25109767      0.05000059      2.15695798
            6.00            5.24            1.20            0.40      0.25138312      0.10002585      1.79948062
            6.00            5.24            1.20            0.60      0.25158889      0.15014573      1.99312169
            6.00            5.24            1.20            0.80      0.25183633      0.20037657      1.92617778
            6.00            5.24            1.20            1.00             NaN             NaN             NaN
            6.00            6.28            0.20            0.00      0.25005490      0.00000000      4.15791932
            6.00            6.28            0.40            0.00      0.25002766      0.00000000      2.77046278
            6.00            6.28            0.40            0.20             NaN             NaN             NaN
            6.00            6.28            0.60            0.00      0.25008238      0.00000000      2.52743389
            6.00            6.28            0.60            0.20      0.25052759      0.04999639      2.74814562
            6.00            6.28            0.60            0.40      0.25043358      0.10004947      2.67223222
            6.00            6.28            0.80            0.00      0.25037623      0.00000000      2.19384213
            6.00            6.28            0.80            0.20      0.25043182      0.05002086      2.28243618
            6.00            6.28            0.80            0.40      0.25074365      0.10004991      2.29835633
            6.00            6.28            0.80            0.60      0.25064366      0.15013824      2.33848293
            6.00            6.28            1.00            0.00      0.25073753      0.00000000      2.08278398
            6.00            6.28            1.00            0.20      0.25066160      0.05000974      2.06374742
            6.00            6.28            1.00            0.40             NaN             NaN             NaN
            6.00            6.28            1.00            0.60      0.25136499      0.15011369      2.17819704
            6.00            6.28            1.00            0.80      0.25152543      0.20030519      2.11108749
            6.00            6.28            1.20            0.00      0.25097233      0.00000000      1.84323258
            6.00            6.28            1.20            0.20      0.25108478      0.05000928      2.00108950
            6.00            6.28            1.20            0.40             NaN             NaN             NaN
            6.00            6.28            1.20            0.60             NaN             NaN             NaN
            6.00            6.28            1.20            0.80             NaN             NaN             NaN
            6.00            6.28            1.20            1.00             NaN             NaN             NaN
