      gamma_real      gamma_imag      sigma_real      sigma_imag              Ep         Ep_imag       Correstep
            3.00            0.00            0.40            0.00      0.25011205      0.00000000      1.94775374
            3.00            0.00            0.40            0.20             NaN             NaN             NaN
            3.00            0.00            0.60            0.00      0.25040583      0.00000000      1.63034076
            3.00            0.00            0.60            0.20             NaN             NaN             NaN
            3.00            0.00            0.60            0.40             NaN             NaN             NaN
            3.00            0.00            0.80            0.00      0.25080888      0.00000000      1.53383828
            3.00            0.00            0.80            0.20      0.25101056      0.05001836      1.52319306
            3.00            0.00            0.80            0.40             NaN             NaN             NaN
            3.00            0.00            0.80            0.60             NaN             NaN             NaN
            3.00            0.00            1.00            0.00      0.25142674      0.00000000      1.47750966
            3.00            0.00            1.00            0.20      0.25155091      0.05001225      1.53377002
            3.00            0.00            1.00            0.40             NaN             NaN             NaN
            3.00            0.00            1.00            0.60             NaN             NaN             NaN
            3.00            0.00            1.00            0.80             NaN             NaN             NaN
            3.00            0.00            1.20            0.00      0.25192850      0.00000000      1.28946571
            3.00            0.00            1.20            0.20      0.25235697      0.05004334      1.33910460
            3.00            0.00            1.20            0.40             NaN             NaN             NaN
            3.00            0.00            1.20            0.60             NaN             NaN             NaN
            3.00            0.00            1.20            0.80             NaN             NaN             NaN
            3.00            0.00            1.20            1.00             NaN             NaN             NaN
            3.00            1.05            0.40            0.20             NaN             NaN             NaN
            3.00            1.05            0.60            0.20             NaN             NaN             NaN
            3.00            1.05            0.60            0.40             NaN             NaN             NaN
            3.00            1.05            0.80            0.20             NaN             NaN             NaN
            3.00            1.05            0.80            0.40             NaN             NaN             NaN
            3.00            1.05            0.80            0.60             NaN             NaN             NaN
            3.00            1.05            1.00            0.20             NaN             NaN             NaN
            3.00            1.05            1.00            0.40             NaN             NaN             NaN
            3.00            1.05            1.00            0.60             NaN             NaN             NaN
            3.00            1.05            1.00            0.80             NaN             NaN             NaN
            3.00            1.05            1.20            0.20             NaN             NaN             NaN
            3.00            1.05            1.20            0.40             NaN             NaN             NaN
            3.00            1.05            1.20            0.60             NaN             NaN             NaN
            3.00            1.05            1.20            0.80             NaN             NaN             NaN
            3.00            1.05            1.20            1.00             NaN             NaN             NaN
            3.00            2.09            0.40            0.20             NaN             NaN             NaN
            3.00            2.09            0.60            0.20             NaN             NaN             NaN
            3.00            2.09            0.60            0.40             NaN             NaN             NaN
            3.00            2.09            0.80            0.20             NaN             NaN             NaN
            3.00            2.09            0.80            0.40             NaN             NaN             NaN
            3.00            2.09            0.80            0.60             NaN             NaN             NaN
            3.00            2.09            1.00            0.20             NaN             NaN             NaN
            3.00            2.09            1.00            0.40             NaN             NaN             NaN
            3.00            2.09            1.00            0.60             NaN             NaN             NaN
            3.00            2.09            1.00            0.80             NaN             NaN             NaN
            3.00            2.09            1.20            0.20             NaN             NaN             NaN
            3.00            2.09            1.20            0.40             NaN             NaN             NaN
            3.00            2.09            1.20            0.60             NaN             NaN             NaN
            3.00            2.09            1.20            0.80             NaN             NaN             NaN
            3.00            2.09            1.20            1.00             NaN             NaN             NaN
            3.00            3.14            0.40            0.20             NaN             NaN             NaN
            3.00            3.14            0.60            0.20             NaN             NaN             NaN
            3.00            3.14            0.60            0.40             NaN             NaN             NaN
            3.00            3.14            0.80            0.20             NaN             NaN             NaN
            3.00            3.14            0.80            0.40             NaN             NaN             NaN
            3.00            3.14            0.80            0.60             NaN             NaN             NaN
            3.00            3.14            1.00            0.20             NaN             NaN             NaN
            3.00            3.14            1.00            0.40             NaN             NaN             NaN
            3.00            3.14            1.00            0.60             NaN             NaN             NaN
            3.00            3.14            1.00            0.80             NaN             NaN             NaN
            3.00            3.14            1.20            0.20             NaN             NaN             NaN
            3.00            3.14            1.20            0.40             NaN             NaN             NaN
            3.00            3.14            1.20            0.60             NaN             NaN             NaN
            3.00            3.14            1.20            0.80             NaN             NaN             NaN
            3.00            3.14            1.20            1.00             NaN             NaN             NaN
            3.00            4.19            0.40            0.20      0.25037089      0.05000069      3.21500419
            3.00            4.19            0.60            0.20             NaN             NaN             NaN
            3.00            4.19            0.60            0.40             NaN             NaN             NaN
            3.00            4.19            0.80            0.20             NaN             NaN             NaN
            3.00            4.19            0.80            0.40             NaN             NaN             NaN
            3.00            4.19            0.80            0.60             NaN             NaN             NaN
            3.00            4.19            1.00            0.20             NaN             NaN             NaN
            3.00            4.19            1.00            0.40             NaN             NaN             NaN
            3.00            4.19            1.00            0.60             NaN             NaN             NaN
            3.00            4.19            1.00            0.80             NaN             NaN             NaN
            3.00            4.19            1.20            0.20             NaN             NaN             NaN
            3.00            4.19            1.20            0.40      0.25116857      0.09996789      1.80811625
            3.00            4.19            1.20            0.60      0.25128790      0.15009813      2.13315431
            3.00            4.19            1.20            0.80             NaN             NaN             NaN
            3.00            4.19            1.20            1.00             NaN             NaN             NaN
            3.00            5.24            0.40            0.20      0.25000968      0.04998792      3.85046041
            3.00            5.24            0.60            0.20      0.25017691      0.04998742      3.29178029
            3.00            5.24            0.60            0.40      0.25041413      0.10004328      3.18980999
            3.00            5.24            0.80            0.20      0.25036596      0.05000074      2.79678777
            3.00            5.24            0.80            0.40      0.25051360      0.10004896      2.86944212
            3.00            5.24            0.80            0.60      0.25103685      0.15003838      2.81322319
            3.00            5.24            1.00            0.20             NaN             NaN             NaN
            3.00            5.24            1.00            0.40      0.25077874      0.10002281      2.57210691
            3.00            5.24            1.00            0.60      0.25042601      0.15012554      2.61816475
            3.00            5.24            1.00            0.80             NaN             NaN             NaN
            3.00            5.24            1.20            0.20      0.25063146      0.04999149      2.31420020
            3.00            5.24            1.20            0.40             NaN             NaN             NaN
            3.00            5.24            1.20            0.60      0.25124837      0.15001722      2.37633266
            3.00            5.24            1.20            0.80      0.25154605      0.20013035      2.43147449
            3.00            5.24            1.20            1.00             NaN             NaN             NaN
            3.00            6.28            0.20            0.00      0.24998101      0.00000000      5.09192732
            3.00            6.28            0.40            0.00      0.24988620      0.00000000      4.11178882
            3.00            6.28            0.40            0.20      0.25023010      0.04999355      4.29435229
            3.00            6.28            0.60            0.00      0.25021473      0.00000000      3.30053826
            3.00            6.28            0.60            0.20      0.25008996      0.04998825      3.40698198
            3.00            6.28            0.60            0.40      0.25042517      0.10006481      3.55054533
            3.00            6.28            0.80            0.00      0.25018053      0.00000000      2.87827531
            3.00            6.28            0.80            0.20      0.25028021      0.04998152      3.12263880
            3.00            6.28            0.80            0.40      0.25040990      0.10002509      3.14990859
            3.00            6.28            0.80            0.60      0.25053865      0.15011235      3.07838483
            3.00            6.28            1.00            0.00      0.25027262      0.00000000      2.53519884
            3.00            6.28            1.00            0.20      0.25051694      0.05005060      2.56024486
            3.00            6.28            1.00            0.40      0.25069269      0.10003032      2.96179177
            3.00            6.28            1.00            0.60             NaN             NaN             NaN
            3.00            6.28            1.00            0.80             NaN             NaN             NaN
            3.00            6.28            1.20            0.00      0.25054560      0.00000000      2.40596113
            3.00            6.28            1.20            0.20      0.25052908      0.05001252      2.39218818
            3.00            6.28            1.20            0.40             NaN             NaN             NaN
            3.00            6.28            1.20            0.60             NaN             NaN             NaN
            3.00            6.28            1.20            0.80             NaN             NaN             NaN
            3.00            6.28            1.20            1.00             NaN             NaN             NaN
            4.00            0.00            0.20            0.00      0.25009582      0.00000000      3.09076971
            4.00            0.00            0.40            0.00      0.25012959      0.00000000      2.12821016
            4.00            0.00            0.40            0.20      0.25030803      0.04999528      2.35088793
            4.00            0.00            0.60            0.00      0.25031109      0.00000000      1.95462520
            4.00            0.00            0.60            0.20      0.25046249      0.05002208      1.93484157
            4.00            0.00            0.60            0.40             NaN             NaN             NaN
            4.00            0.00            0.80            0.00      0.25059784      0.00000000      2.07626483
            4.00            0.00            0.80            0.20      0.25089737      0.05000649      1.76940042
            4.00            0.00            0.80            0.40      0.25125670      0.10008990      1.93205957
            4.00            0.00            0.80            0.60             NaN             NaN             NaN
            4.00            0.00            1.00            0.00      0.25104502      0.00000000      1.69527684
            4.00            0.00            1.00            0.20             NaN             NaN             NaN
            4.00            0.00            1.00            0.40             NaN             NaN             NaN
            4.00            0.00            1.00            0.60             NaN             NaN             NaN
            4.00            0.00            1.00            0.80      0.25278363      0.20051207      1.62821945
            4.00            0.00            1.20            0.00      0.25151360      0.00000000      1.54418703
            4.00            0.00            1.20            0.20      0.25183196      0.05002909      1.67119349
            4.00            0.00            1.20            0.40             NaN             NaN             NaN
            4.00            0.00            1.20            0.60      0.25263352      0.15023961      1.52922159
            4.00            0.00            1.20            0.80             NaN             NaN             NaN
            4.00            0.00            1.20            1.00             NaN             NaN             NaN
            4.00            1.05            0.40            0.20      0.25005171      0.05000783      2.26546534
            4.00            1.05            0.60            0.20      0.25048757      0.05001979      1.98068599
            4.00            1.05            0.60            0.40             NaN             NaN             NaN
            4.00            1.05            0.80            0.20             NaN             NaN             NaN
            4.00            1.05            0.80            0.40             NaN             NaN             NaN
            4.00            1.05            0.80            0.60             NaN             NaN             NaN
            4.00            1.05            1.00            0.20      0.25129949      0.05000240      1.88535649
            4.00            1.05            1.00            0.40             NaN             NaN             NaN
            4.00            1.05            1.00            0.60      0.25179562      0.15021840      1.70493716
            4.00            1.05            1.00            0.80             NaN             NaN             NaN
            4.00            1.05            1.20            0.20      0.25175840      0.05000501      1.70643381
            4.00            1.05            1.20            0.40      0.25224494      0.10003486      1.56857743
            4.00            1.05            1.20            0.60      0.25285911      0.15018966      1.69438380
            4.00            1.05            1.20            0.80             NaN             NaN             NaN
            4.00            1.05            1.20            1.00             NaN             NaN             NaN
            4.00            2.09            0.40            0.20             NaN             NaN             NaN
            4.00            2.09            0.60            0.20             NaN             NaN             NaN
            4.00            2.09            0.60            0.40             NaN             NaN             NaN
            4.00            2.09            0.80            0.20             NaN             NaN             NaN
            4.00            2.09            0.80            0.40             NaN             NaN             NaN
            4.00            2.09            0.80            0.60             NaN             NaN             NaN
            4.00            2.09            1.00            0.20             NaN             NaN             NaN
            4.00            2.09            1.00            0.40             NaN             NaN             NaN
            4.00            2.09            1.00            0.60      0.25185874      0.15017021      1.71935707
            4.00            2.09            1.00            0.80             NaN             NaN             NaN
            4.00            2.09            1.20            0.20      0.25161241      0.04997339      1.52126098
            4.00            2.09            1.20            0.40      0.25180807      0.10002631      1.76708695
            4.00            2.09            1.20            0.60      0.25217133      0.15017735      1.78760991
            4.00            2.09            1.20            0.80             NaN             NaN             NaN
            4.00            2.09            1.20            1.00             NaN             NaN             NaN
            4.00            3.14            0.40            0.20             NaN             NaN             NaN
            4.00            3.14            0.60            0.20             NaN             NaN             NaN
            4.00            3.14            0.60            0.40             NaN             NaN             NaN
            4.00            3.14            0.80            0.20      0.25081407      0.04997673      2.03843588
            4.00            3.14            0.80            0.40      0.25094979      0.10000255      2.09944298
            4.00            3.14            0.80            0.60             NaN             NaN             NaN
            4.00            3.14            1.00            0.20             NaN             NaN             NaN
            4.00            3.14            1.00            0.40      0.25126421      0.10000144      2.00301130
            4.00            3.14            1.00            0.60             NaN             NaN             NaN
            4.00            3.14            1.00            0.80             NaN             NaN             NaN
            4.00            3.14            1.20            0.20      0.25120601      0.05000297      1.72700428
            4.00            3.14            1.20            0.40             NaN             NaN             NaN
            4.00            3.14            1.20            0.60      0.25178874      0.15011579      1.75806322
            4.00            3.14            1.20            0.80             NaN             NaN             NaN
            4.00            3.14            1.20            1.00             NaN             NaN             NaN
            4.00            4.19            0.40            0.20      0.25032743      0.04999888      3.12795238
            4.00            4.19            0.60            0.20      0.25037726      0.04998985      2.62464323
            4.00            4.19            0.60            0.40      0.25042624      0.10001349      2.62225363
            4.00            4.19            0.80            0.20             NaN             NaN             NaN
            4.00            4.19            0.80            0.40      0.25022500      0.10011023      2.37576520
            4.00            4.19            0.80            0.60             NaN             NaN             NaN
            4.00            4.19            1.00            0.20      0.25075334      0.05000470      2.09971253
            4.00            4.19            1.00            0.40      0.25103259      0.10004201      2.27344158
            4.00            4.19            1.00            0.60      0.25123080      0.15018338      2.15718505
            4.00            4.19            1.00            0.80             NaN             NaN             NaN
            4.00            4.19            1.20            0.20      0.25118100      0.04998427      1.88184593
            4.00            4.19            1.20            0.40             NaN             NaN             NaN
            4.00            4.19            1.20            0.60             NaN             NaN             NaN
            4.00            4.19            1.20            0.80             NaN             NaN             NaN
            4.00            4.19            1.20            1.00             NaN             NaN             NaN
            4.00            5.24            0.40            0.20      0.25014050      0.05002399      3.46253563
            4.00            5.24            0.60            0.20      0.25037963      0.05001150      2.89726785
            4.00            5.24            0.60            0.40      0.25046195      0.10001422      2.93620071
            4.00            5.24            0.80            0.20      0.25036145      0.05002297      2.62454828
            4.00            5.24            0.80            0.40             NaN             NaN             NaN
            4.00            5.24            0.80            0.60      0.25100130      0.15009191      2.58005639
            4.00            5.24            1.00            0.20      0.25064632      0.05002991      2.22185644
